scenario,system_id,system_name,region,food_system_type,production_stress,water_stress,ecological_degradation,logistics_fragility,input_dependency,price_volatility,household_vulnerability,inequality_pressure,social_protection_capacity,nutritional_adequacy,food_system_diversity,ecological_buffer_condition,governance_capacity,market_access_reliability,storage_capacity,trade_dependency,cross_sector_linkage,production_stress_reduction,water_stress_reduction,ecological_restoration_gain,logistics_gain,input_dependency_reduction,price_volatility_reduction,household_vulnerability_reduction,inequality_reduction,social_protection_gain,nutritional_gain,diversity_gain,ecological_buffer_gain,governance_gain,market_access_gain,storage_gain,trade_dependency_reduction,cross_sector_linkage_reduction,food_system_fragility,food_access_vulnerability,resilience_capacity,cascading_food_risk,justice_weighted_food_risk,food_resilience_gap,diagnostic_priority
agroecology_and_local_diversity,FSR006,Conflict-affected food access region,Middle East and North Africa,conflict_access_fragility,0.6396000000000001,0.5248,0.434,0.7200000000000001,0.5168,0.774,0.7744,0.7223999999999999,0.45999999999999996,0.54,0.68,0.64,0.52,0.48,0.48,0.5904,0.7215999999999999,0.18,0.18,0.3,0.1,0.24,0.1,0.12,0.14,0.16,0.18,0.34,0.32,0.18,0.12,0.16,0.18,0.12,0.5964160000000001,0.6714159999999999,0.5516,1.815463078463283,2.2744847632219396,1.7228847632219395,logistics_storage_and_market_continuity
agroecology_and_local_diversity,FSR001,Drought-stressed grain basin,Sub-Saharan Africa,climate_stressed_production,0.7052,0.6888000000000001,0.504,0.522,0.5319999999999999,0.684,0.7215999999999999,0.6880000000000001,0.5,0.6,0.7,0.66,0.5800000000000001,0.5800000000000001,0.54,0.4756,0.6335999999999999,0.18,0.18,0.3,0.1,0.24,0.1,0.12,0.14,0.16,0.18,0.34,0.32,0.18,0.12,0.16,0.18,0.12,0.609504,0.615264,0.5984,1.6655382603374593,2.06659987342672,1.4681998734267199,social_protection_and_food_access
agroecology_and_local_diversity,FSR002,Flood-exposed rice and logistics corridor,South Asia,flood_logistics,0.5904,0.5576000000000001,0.46199999999999997,0.738,0.4712,0.63,0.6688000000000001,0.6708000000000001,0.52,0.62,0.76,0.6799999999999999,0.6,0.5,0.5,0.5248,0.7040000000000001,0.18,0.18,0.3,0.1,0.24,0.1,0.12,0.14,0.16,0.18,0.34,0.32,0.18,0.12,0.16,0.18,0.12,0.573856,0.5804720000000001,0.6040000000000001,1.618242412867584,1.9981733665606354,1.3941733665606353,logistics_storage_and_market_continuity
agroecology_and_local_diversity,FSR003,Import-dependent urban food market,Small Islands,trade_dependent_access,0.3936,0.4428000000000001,0.322,0.63,0.6232,0.756,0.6335999999999999,0.6536,0.54,0.6599999999999999,0.74,0.74,0.62,0.64,0.52,0.7216,0.6864,0.18,0.18,0.3,0.1,0.24,0.1,0.12,0.14,0.16,0.18,0.34,0.32,0.18,0.12,0.16,0.18,0.12,0.5102720000000001,0.5863039999999999,0.64,1.6086523865890816,1.9766477065451997,1.3366477065451998,close_food_resilience_gap
agroecology_and_local_diversity,FSR004,Fertilizer-dependent commercial agriculture region,North America,input_dependent_production,0.4756,0.5084000000000001,0.378,0.41400000000000003,0.6536,0.5940000000000001,0.3696,0.3784,0.76,0.8600000000000001,0.8200000000000001,0.8200000000000001,0.76,0.82,0.78,0.574,0.5104,0.18,0.18,0.3,0.1,0.24,0.1,0.12,0.14,0.16,0.18,0.34,0.32,0.18,0.12,0.16,0.18,0.12,0.495576,0.36066400000000004,0.794,1.1573687029273598,1.3106506139430592,0.5166506139430591,monitor_and_preserve_food_system_resilience
agroecology_and_local_diversity,FSR007,Cold-chain dependent perishable foods network,Europe,logistics_and_cold_chain,0.34440000000000004,0.31160000000000004,0.252,0.684,0.41040000000000004,0.522,0.31679999999999997,0.3268,0.86,0.94,0.9199999999999999,0.94,0.8999999999999999,0.8,0.8,0.45920000000000005,0.6688000000000001,0.18,0.18,0.3,0.1,0.24,0.1,0.12,0.14,0.16,0.18,0.34,0.32,0.18,0.12,0.16,0.18,0.12,0.410304,0.291032,0.876,0.9580531461423104,1.0676352649980678,0.19163526499806782,monitor_and_preserve_food_system_resilience
agroecology_and_local_diversity,FSR008,Climate-resilient local procurement system,South America,public_procurement_resilience,0.32800000000000007,0.3608,0.26599999999999996,0.378,0.2736,0.378,0.3872,0.36119999999999997,0.92,0.96,1,1,0.94,0.86,0.88,0.32800000000000007,0.4224,0.18,0.18,0.3,0.1,0.24,0.1,0.12,0.14,0.16,0.18,0.34,0.32,0.18,0.12,0.16,0.18,0.12,0.33012800000000003,0.269128,0.9396,0.741632782399488,0.8353899987504313,0,monitor_and_preserve_food_system_resilience
agroecology_and_local_diversity,FSR005,Resilient agroecological food corridor,Latin America,diverse_regional_food_system,0.2952,0.34440000000000004,0.238,0.342,0.2432,0.36000000000000004,0.33440000000000003,0.34400000000000003,0.88,0.9199999999999999,1,1,0.9199999999999999,0.84,0.86,0.31160000000000004,0.3872,0.18,0.18,0.3,0.1,0.24,0.1,0.12,0.14,0.16,0.18,0.34,0.32,0.18,0.12,0.16,0.18,0.12,0.30304000000000003,0.26265600000000006,0.9236,0.690431196843213,0.7735591129431358,0,monitor_and_preserve_food_system_resilience
baseline,FSR006,Conflict-affected food access region,Middle East and North Africa,conflict_access_fragility,0.78,0.64,0.62,0.8,0.68,0.86,0.88,0.84,0.3,0.36,0.34,0.32,0.34,0.36,0.32,0.72,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7263999999999999,0.7968000000000001,0.3292,2.3078551552000004,2.9863645708288007,2.6571645708288005,production_and_climate_resilience
baseline,FSR001,Drought-stressed grain basin,Sub-Saharan Africa,climate_stressed_production,0.86,0.84,0.72,0.58,0.7,0.76,0.82,0.8,0.34,0.42,0.36,0.34,0.4,0.46,0.38,0.58,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7500000000000001,0.7356,0.376,2.1208187904000004,2.7146480517120004,2.3386480517120005,production_and_climate_resilience
