system_id,system_name,domain,region,primary_hazard,metric,value
RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,expected_risk,0.5994
RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,combined_uncertainty,0.39
RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,uncertainty_adjusted_risk,0.8331660000000002
RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,complexity_multiplier,1.668
RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,vulnerability_weighted_systemic_risk,1.9427853303555842
RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,robust_response_capacity,0.40040000000000003
RUC002,Dryland food-water system,food_water_system,Sub-Saharan Africa,drought,resilience_gap,1.5423853303555841
RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,expected_risk,0.5168
RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,combined_uncertainty,0.35
RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,uncertainty_adjusted_risk,0.6976800000000001
RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,complexity_multiplier,1.712
RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,vulnerability_weighted_systemic_risk,1.6292955644928002
RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,robust_response_capacity,0.4736
RUC004,Globalized medical supply chain,health_supply_chain,Global,supply_disruption,resilience_gap,1.1556955644928002
RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,expected_risk,0.511
RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,combined_uncertainty,0.35
RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,uncertainty_adjusted_risk,0.6898500000000001
RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,complexity_multiplier,1.624
RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,vulnerability_weighted_systemic_risk,1.6136768549664005
RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,robust_response_capacity,0.4544
RUC005,Urban public health system,public_health,Latin America,compound_heat_disease,resilience_gap,1.1592768549664005
