scenario,system_id,system_name,region,ecosystem_type,ecosystem_condition,ecological_connectivity,functional_biodiversity,maintenance_capacity,restoration_investment,hazard_pressure,exposure,social_vulnerability,governance_capacity,degradation_pressure,condition_gain,connectivity_gain,biodiversity_gain,maintenance_gain,restoration_gain,hazard_reduction,exposure_reduction,vulnerability_reduction,governance_gain,degradation_reduction,natural_buffer_capacity,hazard_exposure_pressure,buffer_adjusted_risk,ecological_fragility,justice_weighted_ecosystem_risk,ecosystem_resilience_gap,diagnostic_priority
baseline,EBR005,Degraded coral reef coastline,Small Islands,reef,0.34,0.4,0.38,0.32,0.34,0.88,0.84,0.78,0.4,0.82,0,0,0,0,0,0,0,0,0,0,0.35640000000000005,0.9410015999999999,0.7110753870527999,0.6588,1.6904262276231552,1.3340262276231551,restore_ecosystem_condition
baseline,EBR003,Deforested mountain watershed,Latin America,watershed_forest,0.36,0.38,0.42,0.34,0.4,0.82,0.7,0.62,0.42,0.78,0,0,0,0,0,0,0,0,0,0,0.3796,0.698558,0.5184111385838001,0.6416000000000001,1.3757732103603868,0.9961732103603869,restore_ecosystem_condition
baseline,EBR004,Coastal mangrove protection zone,South Asia,mangrove,0.48,0.44,0.54,0.42,0.46,0.86,0.8,0.74,0.44,0.68,0,0,0,0,0,0,0,0,0,0,0.4696,0.866192,0.6080019928384001,0.544,1.407746435248525,0.9381464352485249,reduce_exposure_to_hazard_pressure
baseline,EBR002,Disconnected river floodplain,Europe,floodplain,0.42,0.34,0.46,0.38,0.36,0.74,0.68,0.48,0.54,0.7,0,0,0,0,0,0,0,0,0,0,0.394,0.5877376,0.41825494084479997,0.6104,1.1767812523264511,0.7827812523264511,reconnect_habitats_and_buffers
baseline,EBR001,Urban wetland flood buffer,North America,wetland,0.52,0.46,0.58,0.48,0.44,0.78,0.72,0.6,0.5,0.62,0,0,0,0,0,0,0,0,0,0,0.49839999999999995,0.6795359999999999,0.4612384576799999,0.5036,1.1385093800624,0.6401093800624,reduce_exposure_to_hazard_pressure
baseline,EBR006,Regenerative soil and agroecology district,Sub-Saharan Africa,soil_agroecosystem,0.58,0.52,0.56,0.5,0.54,0.72,0.64,0.76,0.46,0.58,0,0,0,0,0,0,0,0,0,0,0.5424,0.5833728,0.39027010277376006,0.4692,1.0554292862061774,0.5130292862061774,monitor_and_preserve_natural_buffers
baseline,EBR008,Urban heat canopy and green corridors,North America,urban_tree_canopy,0.64,0.58,0.6,0.56,0.58,0.76,0.7,0.66,0.58,0.48,0,0,0,0,0,0,0,0,0,0,0.5948,0.6548919999999998,0.41006108422439985,0.4088,0.980995578900831,0.386195578900831,reduce_exposure_to_hazard_pressure
baseline,EBR007,Connected watershed restoration region,South America,restored_watershed,0.76,0.74,0.78,0.7,0.72,0.58,0.52,0.42,0.72,0.34,0,0,0,0,0,0,0,0,0,0,0.742,0.3459352,0.1889504981104,0.26080000000000003,0.5064190608723104,0,monitor_and_preserve_natural_buffers
connectivity_and_biodiversity,EBR005,Degraded coral reef coastline,Small Islands,reef,0.48000000000000004,0.7,0.6799999999999999,0.44,0.52,0.8448,0.8063999999999999,0.7332,0.52,0.6724,0.14,0.3,0.3,0.12,0.18,0.04,0.04,0.06,0.12,0.18,0.564,0.8560682532863997,0.5557543736240109,0.44708800000000004,1.2234275821263485,0.6594275821263486,reduce_exposure_to_hazard_pressure
connectivity_and_biodiversity,EBR003,Deforested mountain watershed,Latin America,watershed_forest,0.5,0.6799999999999999,0.72,0.46,0.5800000000000001,0.7871999999999999,0.6719999999999999,0.5828,0.54,0.6396000000000001,0.14,0.3,0.3,0.12,0.18,0.04,0.04,0.06,0.12,0.18,0.5872,0.6369034936319998,0.4053460190205983,0.430752,0.9822813966661599,0.3950813966661598,reduce_exposure_to_hazard_pressure
