scenario,project_id,project_name,region,solution_type,ecosystem_condition,biodiversity_benefit,ecological_connectivity,intervention_quality,governance_capacity,maintenance_capacity,hazard_pressure,exposure,social_vulnerability,social_legitimacy,livelihood_benefit,displacement_pressure,ecosystem_condition_gain,biodiversity_gain,connectivity_gain,intervention_quality_gain,governance_gain,maintenance_gain,hazard_reduction,exposure_reduction,vulnerability_reduction,legitimacy_gain,livelihood_gain,displacement_reduction,nbs_integrity,hazard_vulnerability_pressure,buffer_effectiveness,nature_adjusted_risk,credibility_risk,justice_weighted_nbs_risk,nbs_resilience_gap,diagnostic_priority
baseline,NBS006,Reef and seagrass coastal buffer,Small Islands,reef_seagrass_recovery,0.38,0.44,0.46,0.42,0.4,0.36,0.88,0.84,0.78,0.44,0.62,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.9410015999999999,0.49987318079999993,0.6563969475133948,0.5436000000000001,1.4807962332315292,0.9809230524315293,restore_ecological_condition
baseline,NBS004,Urban canopy and heat resilience program,North America,urban_tree_canopy,0.56,0.46,0.42,0.54,0.52,0.44,0.82,0.78,0.7,0.48,0.46,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0.49240000000000006,0.7963019999999998,0.589473548032,0.5090130451065911,0.5444,1.2746297845789751,0.6851562365469751,reduce_displacement_and_green_gentrification_risk
baseline,NBS003,Mangrove recovery and coastal livelihoods zone,South Asia,mangrove_recovery,0.5,0.6,0.54,0.58,0.46,0.42,0.86,0.82,0.76,0.5,0.68,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0.5192,0.8927831999999999,0.6468525888000001,0.5601241058044156,0.4812,1.2787460019278223,0.6318934131278222,close_nature_based_resilience_gap
baseline,NBS001,Urban wetland restoration district,North America,wetland_restoration,0.58,0.62,0.52,0.6,0.54,0.48,0.76,0.72,0.58,0.56,0.5,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.5598,0.6582816,0.6853564224,0.3938005184417091,0.4248,0.9610370086505664,0.27568058625056635,monitor_and_preserve_nbs_performance
baseline,NBS007,Soil regeneration and agroecology landscape,Sub-Saharan Africa,soil_agroecology,0.6,0.68,0.58,0.64,0.48,0.46,0.74,0.68,0.8,0.6,0.72,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.5786,0.644096,0.73985998592,0.3780943004335131,0.3828,0.9435089325375563,0.20364894661755628,monitor_and_preserve_nbs_performance
baseline,NBS002,Floodplain reconnection corridor,Europe,floodplain_reconnection,0.54,0.58,0.68,0.62,0.6,0.54,0.72,0.66,0.46,0.62,0.48,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0.5914,0.5517072000000001,0.7301335453440001,0.31487249527261224,0.4112,0.8262704996202327,0.09613695427623259,monitor_and_preserve_nbs_performance
baseline,NBS005,Watershed restoration and drinking-water protection,Latin America,watershed_restoration,0.64,0.66,0.62,0.68,0.58,0.56,0.7,0.64,0.6,0.64,0.58,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.6258,0.5420799999999999,0.7884451196160002,0.2990361228626554,0.3572,0.7743586249779334,0,monitor_and_preserve_nbs_performance
baseline,NBS008,Green corridor with anti-displacement safeguards,North America,green_corridor,0.66,0.62,0.72,0.7,0.72,0.68,0.7,0.66,0.64,0.78,0.62,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.6808,0.565488,0.8866402612479999,0.2786893060485873,0.28759999999999997,0.6750168528099161,0,monitor_and_preserve_nbs_performance
ecological_integrity,NBS006,Reef and seagrass coastal buffer,Small Islands,reef_seagrass_recovery,0.62,0.74,0.7,0.62,0.5,0.48,0.8271999999999999,0.8063999999999999,0.7332,0.52,0.7,0.3384,0.24,0.3,0.24,0.2,0.1,0.12,0.06,0.04,0.06,0.08,0.08,0.06,0.6154,0.8382334980095998,0.7722127817599999,0.4785820536363266,0.390048,1.0596939202341729,0.287481138474173,monitor_and_preserve_nbs_performance
ecological_integrity,NBS004,Urban canopy and heat resilience program,North America,urban_tree_canopy,0.8,0.76,0.6599999999999999,0.74,0.62,0.56,0.7707999999999999,0.7488,0.6579999999999999,0.5599999999999999,0.54,0.6204,0.24,0.3,0.24,0.2,0.1,0.12,0.06,0.04,0.06,0.08,0.08,0.06,0.6978,0.7100984517119999,0.859951302912,0.36783349545115285,0.386888,0.9037035186532104,0.043752215741210465,reduce_displacement_and_green_gentrification_risk
ecological_integrity,NBS003,Mangrove recovery and coastal livelihoods zone,South Asia,mangrove_recovery,0.74,0.8999999999999999,0.78,0.78,0.56,0.54,0.8083999999999999,0.7871999999999999,0.7143999999999999,0.58,0.76,0.41359999999999997,0.24,0.3,0.24,0.2,0.1,0.12,0.06,0.04,0.06,0.08,0.08,0.06,0.7245999999999999,0.7954910548991998,0.9288326257279998,0.39817650369569474,0.326592,0.8801008894077561,0,monitor_and_preserve_nbs_performance
ecological_integrity,NBS001,Urban wetland restoration district,North America,wetland_restoration,0.82,0.9199999999999999,0.76,0.8,0.64,0.6,0.7143999999999999,0.6911999999999999,0.5451999999999999,0.64,0.58,0.35719999999999996,0.24,0.3,0.24,0.2,0.1,0.12,0.06,0.04,0.06,0.08,0.08,0.06,0.7651999999999999,0.5880189136895999,0.9640751127039999,0.27964980411503254,0.270984,0.6406954691160872,0,monitor_and_preserve_nbs_performance
ecological_integrity,NBS007,Soil regeneration and agroecology landscape,Sub-Saharan Africa,soil_agroecology,0.84,0.98,0.82,0.8400000000000001,0.58,0.5800000000000001,0.6956,0.6528,0.752,0.6799999999999999,0.7999999999999999,0.2632,0.24,0.3,0.24,0.2,0.1,0.12,0.06,0.04,0.06,0.08,0.08,0.06,0.784,0.573603557376,1.0310716415999999,0.269737072856064,0.230304,0.612850338892392,0,monitor_and_preserve_nbs_performance
