source_key,title,institution_or_author,year,source_type,url
ipcc_ar6_wg2,Climate Change 2022 Impacts Adaptation and Vulnerability,IPCC,2022,assessment,https://www.ipcc.ch/report/ar6/wg2/
ipcc_ar6_glossary,AR6 WGII Annex II Glossary,IPCC,2022,glossary,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Annex-II.pdf
sendai_framework,Sendai Framework for Disaster Risk Reduction 2015-2030,UNDRR,2015,framework,https://www.undrr.org/publication/sendai-framework-disaster-risk-reduction-2015-2030
undrr_resilience,Terminology Resilience,UNDRR,n.d.,terminology,https://www.undrr.org/terminology/resilience
nist_resilience_guide,Community Resilience Planning Guide,NIST,2024,guidance,https://www.nist.gov/community-resilience/planning-guide
oecd_resilience_systems,Guidelines for Resilience Systems Analysis,OECD,2025,guidance,https://www.oecd.org/en/publications/guidelines-for-resilience-systems-analysis-how-to-analyse-risk-and-build-a-roadmap-to-resilience_3b1d3efe-en.html
world_bank_risk_development,Integrating Climate and Disaster Risk into Development,World Bank,2024,report,https://openknowledge.worldbank.org/entities/publication/591acb45-575d-5452-ad93-8d82a6829172
world_bank_resilience,Rising to the Challenge Climate Adaptation and Resilience,World Bank,2025,report,https://www.worldbank.org/en/publication/rising-to-the-challenge-climate-adaptation-resilience
src_applying_resilience,Applying Resilience Thinking,Stockholm Resilience Centre,2015,guidance,https://www.stockholmresilience.org/download/18.10119fc11455d3c557d6928/1459560241272/SRC%2BApplying%2BResilience%2Bfinal.pdf
resilience_alliance_adaptive_cycle,Adaptive Cycle,Resilience Alliance,n.d.,concept,https://www.resalliance.org/adaptive-cycle
resilience_alliance_panarchy,Panarchy,Resilience Alliance,n.d.,concept,https://www.resalliance.org/panarchy
