system_id,system_name,sector,service_context,digital_criticality,threat_pressure,technical_vulnerability_exposure,dependency_concentration,identity_access_weakness,vendor_supply_chain_exposure,operational_technology_exposure,data_integrity_risk,recovery_capacity,governance_capacity,backup_redundancy_capacity,monitoring_maturity,logging_maturity,incident_exercise_maturity,user_vulnerability,cyber_disruption_pressure,cyber_resilience_capacity,systemic_cyber_risk,cascading_dependency_exposure,service_continuity_gap,recovery_priority_score,diagnostic_priority,scenario
CYB003,Cloud identity provider and access platform,Digital Infrastructure,identity_concentration,0.92,0.82,0.58,0.88,0.82,0.78,0.22,0.66,0.52,0.58,0.56,0.62,0.6,0.54,0.62,0.64124,0.5678000000000001,0.7405798768166687,1.9378156580619228,2.06168770584763,2.9771416203631107,strengthen_identity_and_access_controls,baseline
CYB001,Hospital clinical systems and electronic health records,Health,ransomware_care_continuity,0.96,0.84,0.7,0.76,0.68,0.74,0.48,0.78,0.38,0.42,0.34,0.44,0.4,0.36,0.82,0.6896639999999999,0.38980000000000004,0.8970721384039833,1.237608549722062,2.086076413265014,2.8884785506955293,strengthen_identity_and_access_controls,baseline
CYB004,Local government public benefits platform,Public Administration,digital_service_access,0.88,0.74,0.68,0.72,0.7,0.76,0.2,0.74,0.34,0.38,0.3,0.36,0.34,0.3,0.86,0.580272,0.3376,0.775092271345244,1.287908420493907,1.9614464815921977,2.7624235867156743,strengthen_identity_and_access_controls,baseline
CYB007,Emergency communications and dispatch platform,Emergency Services,emergency_response_dependency,0.96,0.76,0.6,0.7,0.6,0.66,0.38,0.64,0.48,0.54,0.44,0.52,0.48,0.42,0.8,0.6046079999999999,0.4814,0.7311927249204477,1.382231046483352,1.9009082481621238,2.734466009782962,reduce_vendor_and_software_supply_chain_exposure,baseline
CYB002,Water utility operational technology and billing systems,Water,ot_service_continuity,0.94,0.76,0.72,0.66,0.58,0.62,0.86,0.56,0.4,0.46,0.38,0.42,0.38,0.34,0.76,0.6429599999999999,0.3988,0.797517335680531,0.8728919665642461,1.7751633189626541,2.4653863106037157,improve_backups_redundancy_and_recovery,baseline
CYB006,Payment processing and municipal finance system,Finance,payment_continuity,0.9,0.8,0.56,0.82,0.64,0.78,0.16,0.7,0.5,0.56,0.48,0.58,0.54,0.5,0.6,0.5859000000000001,0.5257999999999999,0.67925136345066,1.2986698255263087,1.7027862762138146,2.447453732595392,reduce_vendor_and_software_supply_chain_exposure,baseline
CYB005,Port logistics and customs data platform,Transport and Logistics,supply_chain_dependency,0.86,0.78,0.62,0.74,0.56,0.7,0.44,0.64,0.44,0.48,0.42,0.5,0.46,0.4,0.58,0.558484,0.45020000000000004,0.6582429861662649,1.124136639196447,1.6301113057644883,2.3141454655636,reduce_vendor_and_software_supply_chain_exposure,baseline
CYB008,School district learning and student records platform,Education,digital_access_and_records,0.78,0.66,0.72,0.68,0.74,0.7,0.08,0.76,0.36,0.4,0.32,0.38,0.34,0.3,0.72,0.4918680000000001,0.3518,0.6232394794183834,0.93643940397318,1.5196591814049736,2.1677690323982683,strengthen_identity_and_access_controls,baseline
CYB001,Hospital clinical systems and electronic health records,Health,ransomware_care_continuity,0.96,0.7728,0.63,0.684,0.4488,0.6512,0.45119999999999993,0.7020000000000001,0.52,0.62,0.52,0.62,0.5800000000000001,0.54,0.7544,0.60032256,0.5654,0.680281079324029,0.8356790366041074,1.4927205976260827,2.1782403567771094,reduce_vendor_and_software_supply_chain_exposure,identity_and_access_resilience
CYB003,Cloud identity provider and access platform,Digital Infrastructure,identity_concentration,0.92,0.7544,0.522,0.792,0.5411999999999999,0.6864,0.20679999999999998,0.5940000000000001,0.66,0.78,0.74,0.8,0.78,0.72,0.5704,0.55163568,0.7434,0.5490869704425192,1.3191417752554018,1.38525785807022,2.1336433018840704,reduce_vendor_and_software_supply_chain_exposure,identity_and_access_resilience
