scenario,system_id,system_name,domain,region,stress_type,disruption_severity,recovery_capacity,recovery_speed,essential_function_restoration,adaptive_capacity,governance_capacity,learning_capacity,ecological_buffer_capacity,social_protection_capacity,transformation_readiness,structural_unsustainability,justice_pressure,maladaptation_risk,residual_risk,public_legitimacy,disruption_reduction,recovery_gain,adaptation_gain,governance_gain,learning_gain,ecological_buffer_gain,social_protection_gain,transformation_gain,maladaptation_reduction,legitimacy_gain,recovery_score,adaptation_score,transformation_need,transformation_score,response_capacity,pathway_gap,maladaptation_adjusted_gap,transformational_threshold,climate_resilient_development_score,response_priority,recovery_band,adaptation_band,transformation_need_band
adaptive_pathways,ART002,Dryland agricultural basin,food_water_system,Sub-Saharan Africa,drought_heat,0.864,0.44,0.4,0.46,0.7,0.58,0.62,0.54,0.46,0.72,0.8,0.72,0.5104,0.82,0.52,0.04,0.08,0.22,0.16,0.18,0.14,0.12,0.1,0.12,0.12,0.4356,0.592,0.7372639999999999,0.612,0.544368,1.139632,1.7213001728,0.12526399999999993,0.542832,urgent_recovery_with_risk_reduction,moderate,moderate,elevated
adaptive_pathways,ART001,Coastal floodplain settlement,urban_social_system,South Asia,storm_surge_flood,0.8256,0.46,0.42000000000000004,0.5,0.66,0.56,0.64,0.5,0.44,0.6799999999999999,0.82,0.76,0.5456,0.78,0.56,0.04,0.08,0.22,0.16,0.18,0.14,0.12,0.1,0.12,0.12,0.46240000000000003,0.5704,0.751696,0.6008,0.546208,1.059392,1.6373962751999998,0.15089600000000003,0.5418560000000001,urgent_recovery_with_risk_reduction,moderate,moderate,elevated
adaptive_pathways,ART005,Island food energy water system,island_system,Pacific,cyclone_sea_level,0.8448,0.54,0.5,0.5599999999999999,0.74,0.66,0.72,0.7000000000000001,0.56,0.7999999999999999,0.84,0.68,0.528,0.8,0.62,0.04,0.08,0.22,0.16,0.18,0.14,0.12,0.1,0.12,0.12,0.5356000000000001,0.6828,0.73968,0.7008,0.638368,1.006432,1.537828096,0.038880000000000026,0.6277520000000001,urgent_recovery_with_risk_reduction,moderate,elevated,elevated
adaptive_pathways,ART007,Centralized cloud-dependent civic platform,digital_infrastructure,Asia,cyber_outage,0.6719999999999999,0.54,0.52,0.58,0.74,0.74,0.72,0.48000000000000004,0.6,0.62,0.58,0.38,0.4576,0.68,0.68,0.04,0.08,0.22,0.16,0.18,0.14,0.12,0.1,0.12,0.12,0.548,0.6672,0.530416,0.6704000000000001,0.636128,0.7158719999999998,1.0434550271999998,0,0.630976,maintain_and_monitor_pathway,moderate,elevated,moderate
adaptive_pathways,ART003,Aging industrial river corridor,industrial_region,Europe,compound_pollution_flood,0.7103999999999999,0.64,0.6,0.6599999999999999,0.82,0.78,0.76,0.5,0.66,0.66,0.68,0.46,0.44,0.66,0.68,0.04,0.08,0.22,0.16,0.18,0.14,0.12,0.1,0.12,0.12,0.6355999999999999,0.7172000000000001,0.5800000000000001,0.7072000000000002,0.687488,0.6829120000000001,0.98339328,0,0.6779760000000001,maintain_and_monitor_pathway,moderate,elevated,moderate
adaptive_pathways,ART004,Urban heat response system,public_health,North America,extreme_heat,0.7488,0.7,0.6599999999999999,0.74,0.9,0.8,0.8400000000000001,0.62,0.7,0.64,0.6,0.64,0.4048,0.62,0.72,0.04,0.08,0.22,0.16,0.18,0.14,0.12,0.1,0.12,0.12,0.7023999999999999,0.7848,0.5835680000000001,0.7296,0.740704,0.628096,0.8823492608,0,0.727728,maintain_and_monitor_pathway,elevated,elevated,moderate
adaptive_pathways,ART006,Restored watershed mosaic,watershed_ecology,South America,flood_drought,0.5952,0.76,0.72,0.7799999999999999,0.94,0.8,0.9199999999999999,0.92,0.68,0.76,0.46,0.42,0.2816,0.44,0.74,0.04,0.08,0.22,0.16,0.18,0.14,0.12,0.1,0.12,0.12,0.7556,0.8603999999999999,0.41665599999999997,0.7852,0.7985599999999999,0.23663999999999996,0.303277824,0,0.7898879999999999,maintain_and_monitor_pathway,elevated,elevated,moderate
adaptive_pathways,ART008,Regenerative regional transition,regional_transition,Europe,heat_drought,0.5184,0.7999999999999999,0.76,0.82,1,0.92,0.98,0.96,0.82,0.94,0.34,0.28,0.2112,0.36,0.88,0.04,0.08,0.22,0.16,0.18,0.14,0.12,0.1,0.12,0.12,0.7956000000000001,0.9428,0.30819199999999997,0.9199999999999999,0.888576,0,0,0,0.881688,maintain_and_monitor_pathway,elevated,elevated,lower
baseline,ART002,Dryland agricultural basin,food_water_system,Sub-Saharan Africa,drought_heat,0.9,0.36,0.32,0.38,0.48,0.42,0.44,0.4,0.34,0.62,0.8,0.72,0.58,0.82,0.4,0,0,0,0,0,0,0,0,0,0,0.3556,0.4228,0.7484,0.4792,0.414784,1.305216,2.06224128,0.26919999999999994,0.418376,urgent_recovery_with_risk_reduction,lower,moderate,elevated
baseline,ART001,Coastal floodplain settlement,urban_social_system,South Asia,storm_surge_flood,0.86,0.38,0.34,0.42,0.44,0.4,0.46,0.36,0.32,0.58,0.82,0.76,0.62,0.78,0.44,0,0,0,0,0,0,0,0,0,0,0.3824000000000001,0.4012,0.7636,0.46799999999999997,0.41662400000000005,1.223376,1.9818691200000003,0.2956,0.417016,urgent_recovery_with_risk_reduction,lower,moderate,elevated
