scenario,system_id,system_name,domain,region,stress_type,primary_failure_pressure,redundancy_capacity,modularity_capacity,backup_diversity,pathway_diversity,spare_capacity,coupling_intensity,dependency_concentration,containment_strength,restoration_capacity,monitoring_capacity,governance_coordination,social_vulnerability,system_criticality,efficiency_pressure,failure_pressure_reduction,redundancy_gain,modularity_gain,backup_diversity_gain,pathway_diversity_gain,spare_capacity_gain,coupling_reduction,dependency_reduction,containment_gain,restoration_gain,monitoring_gain,governance_gain,vulnerability_reduction,efficiency_pressure_reduction,redundancy_index,modularity_index,resilience_design_capacity,propagation_pressure,continuity_capacity,efficiency_fragility_pressure,justice_weighted_resilience_gap,diagnostic_priority
baseline,RMS005,Regional food-water system,food_water_system,Sub-Saharan Africa,drought_supply,0.86,0.32,0.36,0.34,0.38,0.28,0.72,0.7,0.38,0.34,0.42,0.4,0.82,0.78,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3292,0.344,0.35516000000000003,2.5398216049599993,0.36737600000000004,0.6960000000000001,1.3316937047252537,redundancy_rebuild_priority
baseline,RMS002,Urban flood transport network,urban_watershed,South Asia,flood_transport,0.84,0.34,0.38,0.32,0.44,0.3,0.76,0.74,0.4,0.38,0.46,0.42,0.74,0.86,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3484,0.34600000000000003,0.37552,2.6388473569920006,0.394752,0.6892,1.3045417718830363,redundancy_rebuild_priority
baseline,RMS003,Hospital supply chain,public_health,Latin America,supply_surge,0.72,0.3,0.32,0.28,0.34,0.26,0.82,0.78,0.34,0.36,0.5,0.46,0.76,0.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2952,0.2884,0.34868,2.4865032759839996,0.3814560000000001,0.7472,1.2957796957888394,redundancy_rebuild_priority
baseline,RMS006,Port logistics network,supply_chain,Global,trade_disruption,0.76,0.34,0.3,0.32,0.36,0.3,0.88,0.86,0.34,0.4,0.58,0.5,0.54,0.88,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3308,0.2596,0.37232,2.8634753056127993,0.421024,0.7808,1.2659741117415046,redundancy_rebuild_priority
baseline,RMS001,Power-water-health corridor,critical_infrastructure,North America,heat_outage,0.78,0.38,0.34,0.36,0.4,0.32,0.84,0.8,0.36,0.42,0.54,0.48,0.58,0.92,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3664,0.2964,0.38964,2.753713475136,0.42779200000000006,0.7228000000000001,1.2315942867352856,redundancy_rebuild_priority
baseline,RMS004,Civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.7,0.36,0.28,0.4,0.32,0.34,0.86,0.84,0.32,0.44,0.66,0.54,0.46,0.84,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35640000000000005,0.25160000000000005,0.39920000000000005,2.5705737435839993,0.45499200000000006,0.7627999999999999,1.050785784867521,redundancy_rebuild_priority
baseline,RMS008,Restored wetland-city resilience region,regional_transition,South America,compound_climate_stress,0.58,0.72,0.8,0.7,0.76,0.68,0.46,0.42,0.78,0.72,0.78,0.76,0.36,0.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7152000000000001,0.7212,0.73132,0.9543478424679998,0.744656,0.368,0,monitor_and_preserve_resilience_design
baseline,RMS007,Distributed microgrid region,energy_system,Europe,storm_grid_stress,0.52,0.76,0.78,0.72,0.74,0.7,0.42,0.38,0.76,0.7,0.76,0.72,0.32,0.66,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7328,0.7192000000000001,0.726,0.8029243249247998,0.7311840000000002,0.34800000000000003,0,monitor_and_preserve_resilience_design
continuity_and_restoration,RMS005,Regional food-water system,food_water_system,Sub-Saharan Africa,drought_supply,0.7912,0.5,0.54,0.5,0.56,0.46,0.6335999999999999,0.616,0.56,0.6200000000000001,0.6,0.64,0.7215999999999999,0.78,0.6512,0.08,0.18,0.18,0.16,0.18,0.18,0.12,0.12,0.18,0.28,0.18,0.24,0.12,0.12,0.5044000000000001,0.4956320000000001,0.5472096,1.9392913305302169,0.5800320000000001,0.5681280000000001,0.7605130148427555,propagation_reduction_priority
continuity_and_restoration,RMS003,Hospital supply chain,public_health,Latin America,supply_surge,0.6624,0.48,0.5,0.44000000000000006,0.52,0.44,0.7215999999999999,0.6864,0.52,0.64,0.6799999999999999,0.7,0.6688000000000001,0.9,0.7040000000000001,0.08,0.18,0.18,0.16,0.18,0.18,0.12,0.12,0.18,0.28,0.18,0.24,0.12,0.12,0.4704,0.44334400000000007,0.5417232,1.885853673593859,0.594112,0.6147680000000001,0.7319484020512688,propagation_reduction_priority
continuity_and_restoration,RMS002,Urban flood transport network,urban_watershed,South Asia,flood_transport,0.7728,0.52,0.56,0.48,0.62,0.48,0.6688000000000001,0.6512,0.5800000000000001,0.66,0.64,0.6599999999999999,0.6512,0.86,0.6335999999999999,0.08,0.18,0.18,0.16,0.18,0.18,0.12,0.12,0.18,0.28,0.18,0.24,0.12,0.12,0.5236000000000001,0.49907200000000007,0.5680016,2.006240607444441,0.6074080000000002,0.561088,0.7315033161654274,propagation_reduction_priority
continuity_and_restoration,RMS006,Port logistics network,supply_chain,Global,trade_disruption,0.6992,0.52,0.48,0.48,0.54,0.48,0.7744,0.7568,0.52,0.68,0.76,0.74,0.4752,0.88,0.7568,0.08,0.18,0.18,0.16,0.18,0.18,0.12,0.12,0.18,0.28,0.18,0.24,0.12,0.12,0.506,0.4169919999999999,0.5660976,2.1601316057383375,0.63368,0.643808,0.6917524247482145,modularity_and_containment_priority
continuity_and_restoration,RMS001,Power-water-health corridor,critical_infrastructure,North America,heat_outage,0.7176,0.56,0.52,0.52,0.5800000000000001,0.5,0.7392,0.7040000000000001,0.54,0.7,0.72,0.72,0.5104,0.92,0.6864,0.08,0.18,0.18,0.16,0.18,0.18,0.12,0.12,0.18,0.28,0.18,0.24,0.12,0.12,0.5416000000000001,0.452064,0.5828992,2.0836811317725066,0.640448,0.5906560000000001,0.6664097231092344,propagation_reduction_priority
continuity_and_restoration,RMS004,Civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.644,0.54,0.46,0.56,0.5,0.52,0.7568,0.7392,0.5,0.72,0.8400000000000001,0.78,0.4048,0.84,0.7215999999999999,0.08,0.18,0.18,0.16,0.18,0.18,0.12,0.12,0.18,0.28,0.18,0.24,0.12,0.12,0.5316000000000001,0.408272,0.5927616,1.94348398435386,0.667648,0.627968,0.5211586891382896,modularity_and_containment_priority
continuity_and_restoration,RMS008,Restored wetland-city resilience region,regional_transition,South America,compound_climate_stress,0.5336,0.8999999999999999,0.98,0.86,0.94,0.8600000000000001,0.4048,0.3696,0.96,1,0.96,1,0.31679999999999997,0.7,0.44,0.08,0.18,0.18,0.16,0.18,0.18,0.12,0.12,0.18,0.28,0.18,0.24,0.12,0.12,0.8904,0.8631840000000001,0.9204751999999999,0.7377447343206189,0.9573119999999999,0.25731200000000004,0,monitor_and_preserve_resilience_design
continuity_and_restoration,RMS007,Distributed microgrid region,energy_system,Europe,storm_grid_stress,0.47840000000000005,0.94,0.96,0.88,0.9199999999999999,0.8799999999999999,0.3696,0.33440000000000003,0.94,0.98,0.94,0.96,0.2816,0.66,0.4224,0.08,0.18,0.18,0.16,0.18,0.18,0.12,0.12,0.18,0.28,0.18,0.24,0.12,0.12,0.908,0.8597439999999998,0.9147232,0.6245093717143618,0.94384,0.23918400000000006,0,monitor_and_preserve_resilience_design
justice_centered_resilience_design,RMS005,Regional food-water system,food_water_system,Sub-Saharan Africa,drought_supply,0.774,0.52,0.56,0.52,0.5800000000000001,0.48000000000000004,0.6192,0.602,0.5800000000000001,0.54,0.62,0.64,0.6068,0.78,0.6215999999999999,0.1,0.2,0.2,0.18,0.2,0.2,0.14,0.14,0.2,0.2,0.2,0.24,0.26,0.16,0.5244000000000001,0.513904,0.5486911999999999,1.8443917038499882,0.5740320000000001,0.546184,0.6533045994112054,propagation_reduction_priority
justice_centered_resilience_design,RMS003,Hospital supply chain,public_health,Latin America,supply_surge,0.648,0.5,0.52,0.46,0.54,0.46,0.7051999999999999,0.6708000000000001,0.54,0.56,0.7,0.7,0.5624,0.9,0.672,0.1,0.2,0.2,0.18,0.2,0.2,0.14,0.14,0.2,0.2,0.2,0.24,0.26,0.16,0.4904,0.462168,0.5433703999999999,1.7912221305072136,0.588112,0.5916560000000001,0.6301701478941728,propagation_reduction_priority
justice_centered_resilience_design,RMS002,Urban flood transport network,urban_watershed,South Asia,flood_transport,0.756,0.54,0.5800000000000001,0.5,0.64,0.5,0.6536,0.6364,0.6000000000000001,0.5800000000000001,0.66,0.6599999999999999,0.5476,0.86,0.6048,0.1,0.2,0.2,0.18,0.2,0.2,0.14,0.14,0.2,0.2,0.2,0.24,0.26,0.16,0.5436,0.517584,0.5695551999999999,1.9066138514881816,0.6014080000000002,0.5392399999999999,0.6295944528796245,propagation_reduction_priority
justice_centered_resilience_design,RMS006,Port logistics network,supply_chain,Global,trade_disruption,0.684,0.54,0.5,0.5,0.56,0.5,0.7568,0.7395999999999999,0.54,0.6000000000000001,0.78,0.74,0.3996,0.88,0.7223999999999999,0.1,0.2,0.2,0.18,0.2,0.2,0.14,0.14,0.2,0.2,0.2,0.24,0.26,0.16,0.526,0.436224,0.5678672,2.049657000454336,0.6276800000000001,0.619528,0.6031389189865927,propagation_reduction_priority
justice_centered_resilience_design,RMS001,Power-water-health corridor,critical_infrastructure,North America,heat_outage,0.7020000000000001,0.5800000000000001,0.54,0.54,0.6000000000000001,0.52,0.7223999999999999,0.6880000000000001,0.56,0.62,0.74,0.72,0.42919999999999997,0.92,0.6552,0.1,0.2,0.2,0.18,0.2,0.2,0.14,0.14,0.2,0.2,0.2,0.24,0.26,0.16,0.5616000000000001,0.47100800000000004,0.5845824,1.978337904608525,0.6344480000000001,0.567728,0.5769628859684124,propagation_reduction_priority
justice_centered_resilience_design,RMS004,Civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.63,0.56,0.48000000000000004,0.5800000000000001,0.52,0.54,0.7395999999999999,0.7223999999999999,0.52,0.64,0.8600000000000001,0.78,0.34040000000000004,0.84,0.6888,0.1,0.2,0.2,0.18,0.2,0.2,0.14,0.14,0.2,0.2,0.2,0.24,0.26,0.16,0.5516,0.42738400000000004,0.5944952000000001,1.8447909476880366,0.661648,0.60432,0.4467833146624194,propagation_reduction_priority
justice_centered_resilience_design,RMS008,Restored wetland-city resilience region,regional_transition,South America,compound_climate_stress,0.522,0.9199999999999999,1,0.8799999999999999,0.96,0.8800000000000001,0.3956,0.36119999999999997,0.98,0.9199999999999999,0.98,1,0.26639999999999997,0.7,0.42,0.1,0.2,0.2,0.18,0.2,0.2,0.14,0.14,0.2,0.2,0.2,0.24,0.26,0.16,0.9103999999999999,0.879848,0.9214743999999999,0.703845581070381,0.9513119999999999,0.23986400000000002,0,monitor_and_preserve_resilience_design
justice_centered_resilience_design,RMS007,Distributed microgrid region,energy_system,Europe,storm_grid_stress,0.468,0.96,0.98,0.8999999999999999,0.94,0.8999999999999999,0.36119999999999997,0.3268,0.96,0.8999999999999999,0.96,0.96,0.2368,0.66,0.40319999999999995,0.1,0.2,0.2,0.18,0.2,0.2,0.14,0.14,0.2,0.2,0.2,0.24,0.26,0.16,0.9279999999999998,0.876168,0.9156504,0.5964502845693919,0.93784,0.222184,0,monitor_and_preserve_resilience_design
modularity_and_containment,RMS005,Regional food-water system,food_water_system,Sub-Saharan Africa,drought_supply,0.8083999999999999,0.42000000000000004,0.6599999999999999,0.44000000000000006,0.54,0.4,0.5616,0.5599999999999999,0.6799999999999999,0.46,0.54,0.56,0.7544,0.78,0.666,0.06,0.1,0.3,0.1,0.16,0.12,0.22,0.2,0.3,0.12,0.12,0.16,0.08,0.1,0.4468000000000001,0.599312,0.5190336,1.718682355243888,0.5199040000000001,0.5520400000000001,0.7428269133441125,propagation_reduction_priority
modularity_and_containment,RMS003,Hospital supply chain,public_health,Latin America,supply_surge,0.6768,0.4,0.62,0.38,0.5,0.38,0.6396,0.6240000000000001,0.64,0.48,0.62,0.62,0.6992,0.9,0.7200000000000001,0.06,0.1,0.3,0.1,0.16,0.12,0.22,0.2,0.3,0.12,0.12,0.16,0.08,0.1,0.4128,0.549592,0.5143175999999999,1.6616242690187764,0.533984,0.59768,0.7122220178779728,redundancy_rebuild_priority
modularity_and_containment,RMS002,Urban flood transport network,urban_watershed,South Asia,flood_transport,0.7896,0.44000000000000006,0.6799999999999999,0.42000000000000004,0.6,0.42,0.5928,0.592,0.7,0.5,0.5800000000000001,0.58,0.6808000000000001,0.86,0.648,0.06,0.1,0.3,0.1,0.16,0.12,0.22,0.2,0.3,0.12,0.12,0.16,0.08,0.1,0.466,0.603856,0.5401568000000001,1.771646404826451,0.54728,0.54416,0.7076591996183901,propagation_reduction_priority
modularity_and_containment,RMS006,Port logistics network,supply_chain,Global,trade_disruption,0.7143999999999999,0.44000000000000006,0.6,0.42000000000000004,0.52,0.42,0.6864,0.6880000000000001,0.64,0.52,0.7,0.66,0.4968000000000001,0.88,0.774,0.06,0.1,0.3,0.1,0.16,0.12,0.22,0.2,0.3,0.12,0.12,0.16,0.08,0.1,0.44839999999999997,0.525088,0.5392463999999999,1.8947984340030184,0.5735520000000001,0.62572,0.655379679790322,propagation_reduction_priority
modularity_and_containment,RMS001,Power-water-health corridor,critical_infrastructure,North America,heat_outage,0.7332,0.48,0.64,0.45999999999999996,0.56,0.44,0.6552,0.6400000000000001,0.6599999999999999,0.54,0.66,0.64,0.5336,0.92,0.7020000000000001,0.06,0.1,0.3,0.1,0.16,0.12,0.22,0.2,0.3,0.12,0.12,0.16,0.08,0.1,0.484,0.558864,0.5556592,1.8323996347075102,0.5803200000000001,0.57308,0.6355253655507062,propagation_reduction_priority
modularity_and_containment,RMS004,Civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.6579999999999999,0.45999999999999996,0.5800000000000001,0.5,0.48,0.46,0.6708000000000001,0.672,0.62,0.56,0.78,0.7000000000000001,0.4232,0.84,0.738,0.06,0.1,0.3,0.1,0.16,0.12,0.22,0.2,0.3,0.12,0.12,0.16,0.08,0.1,0.47400000000000003,0.5158159999999999,0.5657448,1.7079177160803138,0.6075200000000001,0.6099600000000001,0.495756736654716,propagation_reduction_priority
modularity_and_containment,RMS008,Restored wetland-city resilience region,regional_transition,South America,compound_climate_stress,0.5451999999999999,0.82,1,0.7999999999999999,0.92,0.8,0.3588,0.336,1,0.84,0.9,0.92,0.3312,0.7,0.45,0.06,0.1,0.3,0.1,0.16,0.12,0.22,0.2,0.3,0.12,0.12,0.16,0.08,0.1,0.8328,0.8950959999999999,0.8707687999999999,0.6945131197366792,0.8859840000000001,0.26652000000000003,0,monitor_and_preserve_resilience_design
modularity_and_containment,RMS007,Distributed microgrid region,energy_system,Europe,storm_grid_stress,0.4888,0.86,1,0.82,0.9,0.82,0.3276,0.30400000000000005,1,0.82,0.88,0.88,0.2944,0.66,0.432,0.06,0.1,0.3,0.1,0.16,0.12,0.22,0.2,0.3,0.12,0.12,0.16,0.08,0.1,0.8503999999999999,0.904552,0.8688855999999999,0.5845493783828084,0.8753120000000001,0.24456,0,monitor_and_preserve_resilience_design
redundancy_rebuild,RMS005,Regional food-water system,food_water_system,Sub-Saharan Africa,drought_supply,0.8083999999999999,0.6000000000000001,0.45999999999999996,0.5800000000000001,0.6,0.52,0.6624,0.63,0.48,0.46,0.52,0.5,0.7544,0.78,0.6512,0.06,0.28,0.1,0.24,0.22,0.24,0.08,0.1,0.1,0.12,0.1,0.1,0.08,0.12,0.5776000000000001,0.432768,0.49951039999999997,2.107902171653292,0.513328,0.566808,0.9167585309850341,propagation_reduction_priority
redundancy_rebuild,RMS002,Urban flood transport network,urban_watershed,South Asia,flood_transport,0.7896,0.6200000000000001,0.48,0.56,0.66,0.54,0.6992,0.666,0.5,0.5,0.56,0.52,0.6808000000000001,0.86,0.6335999999999999,0.06,0.28,0.1,0.24,0.22,0.24,0.08,0.1,0.1,0.12,0.1,0.1,0.08,0.12,0.5968000000000001,0.435824,0.5201872000000001,2.1832009201751634,0.5407040000000001,0.559944,0.8880649016347912,propagation_reduction_priority
redundancy_rebuild,RMS003,Hospital supply chain,public_health,Latin America,supply_surge,0.6768,0.5800000000000001,0.42000000000000004,0.52,0.56,0.5,0.7544,0.7020000000000001,0.44000000000000006,0.48,0.6,0.56,0.6992,0.9,0.7040000000000001,0.06,0.28,0.1,0.24,0.22,0.24,0.08,0.1,0.1,0.12,0.1,0.1,0.08,0.12,0.5436000000000001,0.37956800000000007,0.49375040000000003,2.0527732209047485,0.527408,0.6138000000000001,0.8851451516653878,modularity_and_containment_priority
redundancy_rebuild,RMS006,Port logistics network,supply_chain,Global,trade_disruption,0.7143999999999999,0.6200000000000001,0.4,0.56,0.58,0.54,0.8096,0.774,0.44000000000000006,0.52,0.6799999999999999,0.6,0.4968000000000001,0.88,0.7568,0.06,0.28,0.1,0.24,0.22,0.24,0.08,0.1,0.1,0.12,0.1,0.1,0.08,0.12,0.5792,0.352592,0.5179376,2.3539959598858946,0.566976,0.643192,0.8469733178644784,modularity_and_containment_priority
redundancy_rebuild,RMS001,Power-water-health corridor,critical_infrastructure,North America,heat_outage,0.7332,0.66,0.44000000000000006,0.6,0.62,0.56,0.7728,0.7200000000000001,0.45999999999999996,0.54,0.64,0.58,0.5336,0.92,0.6864,0.06,0.28,0.1,0.24,0.22,0.24,0.08,0.1,0.1,0.12,0.1,0.1,0.08,0.12,0.6148,0.388096,0.5348687999999999,2.2696426892121733,0.573744,0.589776,0.8199851540488277,modularity_and_containment_priority
redundancy_rebuild,RMS004,Civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.6579999999999999,0.64,0.38,0.64,0.54,0.5800000000000001,0.7912,0.756,0.42000000000000004,0.56,0.76,0.64,0.4232,0.84,0.7215999999999999,0.06,0.28,0.1,0.24,0.22,0.24,0.08,0.1,0.1,0.12,0.1,0.1,0.08,0.12,0.6048,0.344064,0.5446592,2.116530570718888,0.600944,0.6272639999999999,0.6643597095955017,modularity_and_containment_priority
redundancy_rebuild,RMS008,Restored wetland-city resilience region,regional_transition,South America,compound_climate_stress,0.5451999999999999,1,0.9,0.94,0.98,0.92,0.4232,0.378,0.88,0.84,0.88,0.86,0.3312,0.7,0.44,0.06,0.28,0.1,0.24,0.22,0.24,0.08,0.1,0.1,0.12,0.1,0.1,0.08,0.12,0.9636,0.8028640000000001,0.8735392,0.8024415315195506,0.8906080000000001,0.25476,0,monitor_and_preserve_resilience_design
redundancy_rebuild,RMS007,Distributed microgrid region,energy_system,Europe,storm_grid_stress,0.4888,1,0.88,0.96,0.96,0.94,0.3864,0.342,0.86,0.82,0.86,0.82,0.2944,0.66,0.4224,0.06,0.28,0.1,0.24,0.22,0.24,0.08,0.1,0.1,0.12,0.1,0.1,0.08,0.12,0.9684,0.7998080000000001,0.8640624,0.6781672107803904,0.8735520000000001,0.24525600000000003,0,monitor_and_preserve_resilience_design
resilience_design_portfolio,RMS005,Regional food-water system,food_water_system,Sub-Saharan Africa,drought_supply,0.7052,0.62,0.6599999999999999,0.6200000000000001,0.66,0.56,0.5327999999999999,0.518,0.6799999999999999,0.64,0.7,0.68,0.6232,0.78,0.5624,0.18,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.3,0.3,0.28,0.28,0.24,0.24,0.6156,0.609536,0.6359408,1.4229834911279995,0.6563680000000001,0.4635760000000001,0.3828388239227587,propagation_reduction_priority
resilience_design_portfolio,RMS003,Hospital supply chain,public_health,Latin America,supply_surge,0.5904,0.6,0.62,0.56,0.6200000000000001,0.54,0.6068,0.5772,0.64,0.6599999999999999,0.78,0.74,0.5776,0.9,0.6080000000000001,0.18,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.3,0.3,0.28,0.28,0.24,0.24,0.5816,0.5611119999999999,0.6316135999999999,1.3700675921936942,0.670448,0.5053040000000001,0.3601378053070662,monitor_and_preserve_resilience_design
resilience_design_portfolio,RMS002,Urban flood transport network,urban_watershed,South Asia,flood_transport,0.6888000000000001,0.64,0.6799999999999999,0.6000000000000001,0.72,0.5800000000000001,0.5624,0.5476,0.7,0.6799999999999999,0.74,0.7,0.5624,0.86,0.5472,0.18,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.3,0.3,0.28,0.28,0.24,0.24,0.6348,0.614656,0.6572368,1.4638674490818182,0.683744,0.4561200000000001,0.35262609488290686,propagation_reduction_priority
resilience_design_portfolio,RMS006,Port logistics network,supply_chain,Global,trade_disruption,0.6232000000000001,0.64,0.6,0.6000000000000001,0.64,0.5800000000000001,0.6512,0.6364,0.64,0.7,0.86,0.78,0.41040000000000004,0.88,0.6536,0.18,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.3,0.3,0.28,0.28,0.24,0.24,0.6172000000000001,0.5376160000000001,0.6568448,1.5573539916602235,0.7100160000000001,0.529432,0.31070838269376655,propagation_reduction_priority
resilience_design_portfolio,RMS001,Power-water-health corridor,critical_infrastructure,North America,heat_outage,0.6396000000000001,0.6799999999999999,0.64,0.64,0.68,0.6000000000000001,0.6215999999999999,0.592,0.6599999999999999,0.72,0.8200000000000001,0.76,0.44079999999999997,0.92,0.5928,0.18,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.3,0.3,0.28,0.28,0.24,0.24,0.6527999999999999,0.570672,0.6730415999999999,1.5094011068504976,0.7167840000000001,0.48139200000000004,0.2933576572373384,propagation_reduction_priority
resilience_design_portfolio,RMS004,Civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.574,0.6599999999999999,0.5800000000000001,0.68,0.6000000000000001,0.6200000000000001,0.6364,0.6215999999999999,0.62,0.74,0.9400000000000001,0.8200000000000001,0.3496,0.84,0.6232,0.18,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.3,0.3,0.28,0.28,0.24,0.24,0.6428,0.5280560000000001,0.6832568000000001,1.405073366358571,0.7439840000000001,0.5158400000000001,0.1769027030835677,propagation_reduction_priority
resilience_design_portfolio,RMS008,Restored wetland-city resilience region,regional_transition,South America,compound_climate_stress,0.4756,1,1,0.98,1,0.9600000000000001,0.34040000000000004,0.31079999999999997,1,1,1,1,0.2736,0.7,0.38,0.18,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.3,0.3,0.28,0.28,0.24,0.24,0.9864,0.9014319999999999,0.9663495999999999,0.5835753287996732,0.9961920000000002,0.197576,0,monitor_and_preserve_resilience_design
resilience_design_portfolio,RMS007,Distributed microgrid region,energy_system,Europe,storm_grid_stress,0.42640000000000006,1,1,1,1,0.98,0.31079999999999997,0.2812,1,1,1,1,0.2432,0.66,0.3648,0.18,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.3,0.3,0.28,0.28,0.24,0.24,0.9956,0.9103119999999999,0.9717736,0.49250780108008624,0.9987680000000001,0.185896,0,monitor_and_preserve_resilience_design
