scenario,system_id,system_name,region,fragility_context,conflict_intensity,governance_capacity,service_continuity,institutional_legitimacy,administrative_reach,recovery_capacity,social_vulnerability,displacement_pressure,livelihood_stress,hazard_exposure,essential_service_demand,inequality_pressure,institutional_exclusion,public_trust,repeated_disruption_pressure,conflict_reduction,governance_gain,service_gain,legitimacy_gain,administrative_reach_gain,recovery_gain,vulnerability_reduction,displacement_reduction,livelihood_stress_reduction,hazard_exposure_reduction,service_demand_reduction,inequality_reduction,exclusion_reduction,trust_gain,repeated_disruption_reduction,fragility_pressure,governance_resilience,conflict_amplified_systemic_risk,service_breakdown_gap,legitimacy_erosion,resilience_under_stress_gap,diagnostic_priority
baseline,CFR001,Conflict-affected service corridor,Sub-Saharan Africa,active_conflict_service_disruption,0.86,0.34,0.3,0.36,0.32,0.3,0.78,0.82,0.76,0.7,0.88,0.8,0.76,0.3,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7868,0.3252,0.9670807900880001,0.5800000000000001,0.6274,1.8492807900880004,conflict_prevention_and_protection
baseline,CFR006,Climate-conflict food insecurity zone,Sub-Saharan Africa,climate_conflict_food_insecurity,0.78,0.36,0.34,0.34,0.36,0.3,0.86,0.74,0.88,0.84,0.9,0.82,0.78,0.32,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8188000000000001,0.342,0.97378680364,0.56,0.6334,1.8251868036399999,conflict_prevention_and_protection
baseline,CFR002,Fragile drought and displacement region,Middle East and North Africa,fragility_displacement_climate,0.68,0.38,0.36,0.34,0.36,0.32,0.82,0.86,0.8,0.82,0.84,0.78,0.74,0.34,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.35440000000000005,0.9037629704000001,0.48,0.5764,1.6057629704,restore_essential_service_continuity
baseline,CFR004,Borderland hybrid authority system,South Asia,hybrid_authority_borderland,0.64,0.42,0.44,0.38,0.34,0.36,0.7,0.68,0.72,0.66,0.78,0.74,0.72,0.36,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6776,0.39239999999999997,0.752885479808,0.34,0.5032,1.2036854798080001,repair_legitimacy_and_public_trust
baseline,CFR003,Urban violence and governance stress district,Latin America,urban_violence_governance_stress,0.72,0.44,0.48,0.4,0.46,0.42,0.66,0.46,0.62,0.58,0.7,0.76,0.7,0.38,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6152,0.4412,0.6887458803840001,0.21999999999999997,0.45759999999999995,0.925145880384,repair_legitimacy_and_public_trust
baseline,CFR005,Post-conflict local recovery system,Europe,post_conflict_recovery,0.38,0.62,0.66,0.58,0.6,0.58,0.48,0.42,0.5,0.46,0.56,0.44,0.42,0.54,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44480000000000003,0.6108,0.409511178176,0,0.1732,0,monitor_and_strengthen_fragility_resilience
baseline,CFR007,Locally resilient service network,South America,local_resilience_network,0.42,0.68,0.72,0.7,0.66,0.68,0.44,0.34,0.42,0.48,0.52,0.38,0.34,0.7,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4216,0.6892,0.380363059472,0,0.09440000000000001,0,monitor_and_strengthen_fragility_resilience
baseline,CFR008,High-capacity disaster-conflict early warning system,East Asia,early_warning_resilience,0.34,0.76,0.78,0.72,0.74,0.72,0.36,0.28,0.38,0.56,0.58,0.34,0.3,0.72,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3844000000000001,0.7464,0.3274281836320001,0,0.06439999999999999,0,monitor_and_strengthen_fragility_resilience
displacement_and_livelihood_resilience,CFR001,Conflict-affected service corridor,Sub-Saharan Africa,active_conflict_service_disruption,0.7912,0.48000000000000004,0.45999999999999996,0.52,0.48,0.5800000000000001,0.6396000000000001,0.5575999999999999,0.5015999999999999,0.63,0.7216,0.6560000000000001,0.6384,0.48,0.6396,0.08,0.14,0.16,0.16,0.16,0.28,0.18,0.32,0.34,0.1,0.18,0.18,0.16,0.18,0.22,0.6344639999999999,0.4996,0.7099162643107584,0.26160000000000005,0.402196,0.8741122643107584,conflict_prevention_and_protection
displacement_and_livelihood_resilience,CFR006,Climate-conflict food insecurity zone,Sub-Saharan Africa,climate_conflict_food_insecurity,0.7176,0.5,0.5,0.5,0.52,0.5800000000000001,0.7052,0.5032,0.5808,0.756,0.7380000000000001,0.6724,0.6552,0.5,0.6708000000000001,0.08,0.14,0.16,0.16,0.16,0.28,0.18,0.32,0.34,0.1,0.18,0.18,0.16,0.18,0.22,0.659584,0.5164,0.7148673226492928,0.2380000000000001,0.4040920000000001,0.8405593226492929,close_resilience_under_stress_gap
displacement_and_livelihood_resilience,CFR002,Fragile drought and displacement region,Middle East and North Africa,fragility_displacement_climate,0.6256,0.52,0.52,0.5,0.52,0.6000000000000001,0.6724,0.5848,0.5279999999999999,0.738,0.6888000000000001,0.6396000000000001,0.6215999999999999,0.52,0.6240000000000001,0.08,0.14,0.16,0.16,0.16,0.28,0.18,0.32,0.34,0.1,0.18,0.18,0.16,0.18,0.22,0.632528,0.5288,0.6605719375037952,0.16880000000000006,0.35572000000000004,0.6562919375037953,monitor_and_strengthen_fragility_resilience
displacement_and_livelihood_resilience,CFR004,Borderland hybrid authority system,South Asia,hybrid_authority_borderland,0.5888,0.56,0.6,0.54,0.5,0.64,0.574,0.4624,0.4751999999999999,0.5940000000000001,0.6396000000000001,0.6068,0.6048,0.54,0.5616,0.08,0.14,0.16,0.16,0.16,0.28,0.18,0.32,0.34,0.1,0.18,0.18,0.16,0.18,0.22,0.5436799999999999,0.5668000000000001,0.551300890433536,0.03960000000000008,0.2910400000000001,0.3151408904335361,monitor_and_strengthen_fragility_resilience
