scenario,system_id,system_name,domain,region,stress_type,dependency_density,hidden_coupling,feedback_delay,signal_visibility,buffer_capacity,redundancy_capacity,modularity_capacity,adaptation_debt,optimization_pressure,maintenance_deficit,monitoring_capacity,governance_coordination,social_vulnerability,system_criticality,external_stress,dependency_reduction,coupling_reduction,delay_reduction,signal_visibility_gain,buffer_gain,redundancy_gain,modularity_gain,adaptation_debt_reduction,optimization_pressure_reduction,maintenance_gain,monitoring_gain,governance_gain,coupling_pressure,deterioration_pressure,slack_deficit,resilience_capacity,cascade_potential,structural_fragility,failure_risk,failure_gap,signal_gap,resilience_priority_score,failure_risk_band,cascade_band,diagnostic_priority
adaptive_governance,CSF006,Monoculture export agriculture region,food_system,Sub-Saharan Africa,drought_heat,0.6768,0.5888,0.5456,0.54,0.42,0.44,0.44,0.6068,0.6688000000000001,0.5544,0.6,0.64,0.76,0.74,0.82,0.06,0.08,0.12,0.16,0.12,0.12,0.14,0.18,0.12,0.16,0.18,0.24,0.655232,0.535808,0.5842080000000001,0.5028,1.3821571266048,0.62360576,1.1056108325347203,0.6028108325347202,0,0.6129837913871521,elevated,elevated,cascade_containment_priority
adaptive_governance,CSF002,Just-in-time medical supply chain,health_supply_chain,Global,supply_disruption,0.7896,0.7544,0.4224,0.62,0.44,0.4,0.48000000000000004,0.5904,0.7568,0.4536,0.6799999999999999,0.6599999999999999,0.52,0.88,0.68,0.06,0.08,0.12,0.16,0.12,0.12,0.14,0.18,0.12,0.16,0.18,0.24,0.791392,0.450992,0.595488,0.5312,1.5928935579647998,0.60021248,1.0036536668344815,0.47245366683448153,0,0.5193587833920685,elevated,elevated,cascade_containment_priority
adaptive_governance,CSF001,Regional electricity-water-health nexus,critical_infrastructure,North America,compound_heat_outage,0.8271999999999999,0.6808000000000001,0.49280000000000007,0.58,0.5,0.56,0.5,0.5412,0.6864,0.5207999999999999,0.72,0.72,0.58,0.92,0.74,0.06,0.08,0.12,0.16,0.12,0.12,0.14,0.18,0.12,0.16,0.18,0.24,0.789344,0.488256,0.5118240000000001,0.5904,1.65433083552,0.6007526400000001,1.0147562813010496,0.4243562813010495,0,0.5145246984553673,elevated,elevated,cascade_containment_priority
adaptive_governance,CSF005,Urban heat-response network,public_health,North America,extreme_heat,0.6204,0.5336,0.4576,0.66,0.56,0.6,0.56,0.45920000000000005,0.5632,0.4368,0.76,0.78,0.64,0.82,0.78,0.06,0.08,0.12,0.16,0.12,0.12,0.14,0.18,0.12,0.16,0.18,0.24,0.6210879999999999,0.420416,0.44771199999999994,0.6448,1.2532805565695997,0.5266937599999999,0.8564799305271306,0.21167993052713052,0,0.45208797568449566,elevated,elevated,cascade_containment_priority
adaptive_governance,CSF004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.7707999999999999,0.7176,0.3696,0.74,0.46,0.42,0.42000000000000004,0.4756,0.7040000000000001,0.40319999999999995,0.8400000000000001,0.76,0.42,0.84,0.64,0.06,0.08,0.12,0.16,0.12,0.12,0.14,0.18,0.12,0.16,0.18,0.24,0.76272,0.36750400000000005,0.5862400000000001,0.5832,1.515117652608,0.54801472,0.8577637806640518,0.27456378066405174,0,0.4300973232324181,elevated,elevated,cascade_containment_priority
adaptive_governance,CSF003,Degraded watershed flood system,watershed_ecology,South America,flood_landslide,0.5451999999999999,0.47840000000000005,0.616,0.6,0.52,0.5800000000000001,0.68,0.5084000000000001,0.4752,0.504,0.64,0.72,0.5,0.7,0.72,0.06,0.08,0.12,0.16,0.12,0.12,0.14,0.18,0.12,0.16,0.18,0.24,0.54592,0.50936,0.429232,0.6184000000000001,0.96593119488,0.49941248000000005,0.7718375970054757,0.15343759700547566,0,0.39518595767191644,elevated,moderate,monitor_and_strengthen_resilience
adaptive_governance,CSF007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.41359999999999997,0.3312,0.33440000000000003,0.88,0.8,0.86,0.9,0.246,0.3696,0.2688,0.9199999999999999,0.92,0.34,0.7,0.56,0.06,0.08,0.12,0.16,0.12,0.12,0.14,0.18,0.12,0.16,0.18,0.24,0.42976,0.242256,0.18913599999999997,0.8764000000000001,0.6199760736000001,0.30335232,0.3568136658649804,0,0,0.22299401840000002,moderate,lower,monitor_and_strengthen_resilience
adaptive_governance,CSF008,Regenerative watershed-city region,regional_transition,Europe,compound_climate_stress,0.3948,0.3128,0.35200000000000004,0.92,0.86,0.82,0.92,0.22960000000000003,0.31679999999999997,0.252,0.96,0.98,0.3,0.62,0.5,0.06,0.08,0.12,0.16,0.12,0.12,0.14,0.18,0.12,0.16,0.18,0.24,0.401312,0.22936,0.168288,0.9036,0.53465593824,0.27900352,0.3022208509274688,0,0,0.19366398456,lower,lower,monitor_and_strengthen_resilience
baseline,CSF006,Monoculture export agriculture region,food_system,Sub-Saharan Africa,drought_heat,0.72,0.64,0.62,0.38,0.3,0.32,0.3,0.74,0.76,0.66,0.42,0.4,0.76,0.74,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.6943999999999999,0.6528,0.7036,0.3476,1.5496181792,0.696768,1.346826303995827,0.999226303995827,0.23280000000000006,0.7982892063985395,elevated,elevated,cascade_containment_priority
baseline,CSF002,Just-in-time medical supply chain,health_supply_chain,Global,supply_disruption,0.84,0.82,0.48,0.46,0.32,0.28,0.34,0.72,0.86,0.54,0.5,0.42,0.52,0.88,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0.8392,0.558,0.7167999999999999,0.376,1.78859971584,0.673632,1.229804911448064,0.853804911448064,0.05800000000000005,0.6644317190068224,elevated,elevated,cascade_containment_priority
