scenario,system_id,system_name,domain,region,stress_type,stress_load,stress_rate,resilience_margin,buffer_capacity,monitoring_capacity,feedback_destabilization,threshold_proximity,interdependency_density,cascade_exposure,governance_readiness,recovery_capacity,social_vulnerability,justice_pressure,system_criticality,regime_shift_reversibility,stress_reduction,stress_rate_reduction,margin_gain,buffer_gain,monitoring_gain,feedback_stabilization,threshold_retreat,interdependency_reduction,cascade_reduction,governance_gain,recovery_gain,vulnerability_reduction,justice_reduction,reversibility_gain,effective_margin,threshold_pressure,tipping_pressure,regime_shift_likelihood,cascade_potential,recovery_difficulty,breakdown_risk,justice_weighted_breakdown_risk,resilience_gap,diagnostic_priority
baseline,TTP004,Dryland agricultural region,food_water_system,Sub-Saharan Africa,drought_heat_groundwater,0.88,0.66,0.28,0.3,0.4,0.72,0.84,0.64,0.68,0.42,0.36,0.8,0.78,0.76,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3288,0.7924,0.98476976193568,0.8292217190581312,2.3070288246495214,0.740150950098602,0.9939655744994851,1.2653181763378445,0.9365181763378445,critical_threshold_avoidance
baseline,TTP001,Coastal watershed city,urban_watershed,South Asia,flood_surge_drainage,0.84,0.62,0.34,0.38,0.42,0.68,0.76,0.72,0.78,0.46,0.44,0.68,0.72,0.86,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3832,0.742,0.8780232681527999,0.756127911171952,2.3518835436489036,0.6623609315750247,0.9319556761134686,1.1668085064940628,0.7836085064940628,cascade_containment_priority
baseline,TTP005,Hospital emergency network,public_health,Latin America,compound_heat_disease,0.8,0.58,0.32,0.34,0.52,0.64,0.72,0.7,0.74,0.48,0.46,0.76,0.74,0.9,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38639999999999997,0.702,0.8127690416351999,0.707541474155968,2.1669412827016634,0.6508132717299098,0.9275267555590112,1.167756185248795,0.781356185248795,cascade_containment_priority
baseline,TTP002,Electrical grid and water utility nexus,critical_infrastructure,North America,heat_outage_water,0.78,0.54,0.4,0.44,0.58,0.62,0.7,0.84,0.82,0.52,0.5,0.56,0.58,0.92,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4612,0.6776000000000001,0.74171521379032,0.6701831726887088,2.29859210110158,0.5808586152603868,0.8648340017662384,1.0403953041247849,0.5791953041247848,cascade_containment_priority
baseline,TTP003,Eutrophic lake watershed,watershed_ecology,Europe,nutrient_loading,0.74,0.48,0.36,0.42,0.5,0.76,0.82,0.46,0.52,0.58,0.4,0.38,0.42,0.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43479999999999996,0.7072,0.8065543673241602,0.7794284848902145,1.7851266178010279,0.6310171151648687,0.8796091078956467,1.0089116467563068,0.5741116467563069,critical_threshold_avoidance
baseline,TTP006,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_outage,0.72,0.5,0.38,0.36,0.64,0.58,0.66,0.82,0.8,0.54,0.48,0.42,0.46,0.84,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4476,0.6308,0.681754893291,0.61939666371894,2.0422201727076814,0.5254069323900608,0.8112762521424518,0.9418917287373866,0.4942917287373866,cascade_containment_priority
baseline,TTP008,Regenerative regional transition,regional_transition,South America,compound_climate_stress,0.58,0.4,0.66,0.72,0.74,0.38,0.42,0.48,0.46,0.78,0.7,0.34,0.32,0.66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708,0.46280000000000004,0.3930230978960001,0.3788278532846401,0.8489200338909306,0.33402491305108484,0.49450406221645526,0.5498885171846983,0,monitor_and_preserve_margin
baseline,TTP007,Restored wetland floodplain,ecological_infrastructure,Europe,flood_rainfall,0.54,0.36,0.7,0.76,0.68,0.34,0.38,0.42,0.4,0.74,0.72,0.3,0.28,0.62,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7172000000000001,0.42280000000000006,0.34925850395688,0.3375478913453392,0.6999960155394414,0.2984153252305085,0.42444823245456065,0.4660441592351076,0,monitor_and_preserve_margin
cascade_containment,TTP004,Dryland agricultural region,food_water_system,Sub-Saharan Africa,drought_heat_groundwater,0.8271999999999999,0.6204,0.42000000000000004,0.45999999999999996,0.54,0.5904,0.7392,0.512,0.48960000000000004,0.6,0.52,0.7200000000000001,0.7020000000000001,0.76,0.46,0.06,0.06,0.14,0.16,0.14,0.18,0.12,0.2,0.28,0.18,0.16,0.1,0.1,0.12,0.48,0.7162000000000001,0.7826141236678913,0.6843608020470832,1.630685476033699,0.6113954566550667,0.9045617640270217,1.126812589448461,0.6468125894484611,cascade_containment_priority
cascade_containment,TTP001,Coastal watershed city,urban_watershed,South Asia,flood_surge_drainage,0.7896,0.5828,0.48000000000000004,0.54,0.56,0.5576000000000001,0.6688000000000001,0.576,0.5616,0.64,0.6,0.6120000000000001,0.648,0.86,0.5,0.06,0.06,0.14,0.16,0.14,0.18,0.12,0.2,0.28,0.18,0.16,0.1,0.1,0.12,0.5344,0.6709360000000001,0.6977779994195521,0.6226525198026478,1.6351612195932328,0.5398888063368473,0.8498396180002697,1.042583243362731,0.5081832433627309,cascade_containment_priority
