scenario,system_id,system_name,region,health_risk_context,health_hazard_pressure,exposure,social_health_vulnerability,surveillance_capacity,prevention_capacity,essential_service_continuity,workforce_capacity,supply_chain_reliability,public_trust,communication_capacity,recovery_capacity,inequality_pressure,essential_service_demand,repeated_health_disruption_pressure,hazard_reduction,exposure_reduction,vulnerability_reduction,surveillance_gain,prevention_gain,continuity_gain,workforce_gain,supply_chain_gain,trust_gain,communication_gain,recovery_gain,inequality_reduction,service_demand_reduction,repeated_disruption_reduction,public_health_threat_pressure,public_health_resilience_capacity,systemic_health_risk,continuity_gap,trust_adjusted_response_capacity,public_health_resilience_gap,diagnostic_priority
baseline,PHR004,Fragile conflict-affected health system,Middle East and North Africa,conflict_health_fragility,0.88,0.84,0.86,0.34,0.32,0.3,0.28,0.3,0.3,0.32,0.28,0.84,0.9,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9934848000000001,0.3064,1.2512876709181688,0.6000000000000001,0.3562120000000001,1.495075670918169,strengthen_surveillance_and_laboratories
baseline,PHR002,Flood-exposed waterborne disease region,South Asia,flood_waterborne_disease,0.86,0.82,0.78,0.46,0.44,0.4,0.42,0.38,0.4,0.44,0.36,0.8,0.86,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9252224,0.41559999999999997,1.0725589244438118,0.45999999999999996,0.500416,1.0321429244438118,protect_essential_service_continuity
baseline,PHR001,Urban heat and chronic disease district,North America,heat_chronic_disease,0.84,0.78,0.72,0.58,0.54,0.48,0.46,0.5,0.44,0.52,0.46,0.74,0.82,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8438976,0.5008,0.9094475948610125,0.33999999999999997,0.6192040000000001,0.6302435948610123,close_public_health_resilience_gap
baseline,PHR006,Supply-chain constrained island health system,Small Islands,supply_chain_health_security,0.74,0.7,0.64,0.56,0.52,0.46,0.48,0.3,0.52,0.54,0.44,0.66,0.74,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6506080000000001,0.48000000000000004,0.686299490872576,0.27999999999999997,0.6244712,0.34182829087257594,stabilize_health_supply_chains
baseline,PHR003,Wildfire smoke respiratory risk corridor,North America,wildfire_smoke_respiratory,0.78,0.74,0.66,0.62,0.58,0.54,0.5,0.52,0.48,0.56,0.5,0.7,0.76,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7295808,0.5416000000000001,0.754958459314725,0.21999999999999997,0.671528,0.303430459314725,monitor_and_strengthen_public_health_resilience
baseline,PHR007,Community health worker resilience system,Sub-Saharan Africa,community_health_outreach,0.7,0.66,0.76,0.5,0.62,0.52,0.58,0.44,0.64,0.66,0.5,0.78,0.72,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602448,0.5536,0.6346000500109671,0.19999999999999996,0.7061408,0.12845925001096703,monitor_and_strengthen_public_health_resilience
baseline,PHR008,High-capacity surveillance and laboratory system,East Asia,surveillance_laboratory_strength,0.62,0.6,0.38,0.84,0.78,0.76,0.74,0.72,0.7,0.76,0.72,0.34,0.54,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42854400000000004,0.7575999999999999,0.3302782151556096,0,0.9604980000000001,0,monitor_and_strengthen_public_health_resilience
baseline,PHR005,Primary-care resilient city network,Europe,integrated_primary_care,0.56,0.58,0.42,0.76,0.74,0.72,0.7,0.68,0.66,0.7,0.68,0.38,0.52,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3793664,0.7096,0.30749246600674196,0,0.8788528,0,monitor_and_strengthen_public_health_resilience
essential_service_continuity,PHR004,Fragile conflict-affected health system,Middle East and North Africa,conflict_health_fragility,0.8271999999999999,0.7728,0.774,0.48000000000000004,0.5,0.64,0.5,0.5,0.42,0.46,0.54,0.7392,0.648,0.7052,0.06,0.08,0.1,0.14,0.18,0.34,0.22,0.2,0.12,0.14,0.26,0.12,0.28,0.18,0.837175105536,0.5096,0.8980246498788826,0.008000000000000007,0.5404800000000001,0.3655446498788826,monitor_and_strengthen_public_health_resilience
essential_service_continuity,PHR002,Flood-exposed waterborne disease region,South Asia,flood_waterborne_disease,0.8083999999999999,0.7544,0.7020000000000001,0.6000000000000001,0.62,0.74,0.64,0.5800000000000001,0.52,0.5800000000000001,0.62,0.7040000000000001,0.6192,0.6232000000000001,0.06,0.08,0.1,0.14,0.18,0.34,0.22,0.2,0.12,0.14,0.26,0.12,0.28,0.18,0.781104794368,0.6188,0.7681357885481379,0,0.6936000000000001,0.0745357885481378,monitor_and_strengthen_public_health_resilience
