item_id,item_name,sector,supply_context,criticality,supplier_concentration,dependency_intensity,logistics_exposure,cyber_digital_risk,workforce_vulnerability,climate_hazard_exposure,inventory_buffer,substitutability,supplier_redundancy,modular_production_capacity,governance_capacity,logistics_flexibility,recovery_time_pressure,vulnerable_population_exposure,essential_service_relevance,disruption_pressure,resilience_buffer_capacity,shortage_risk,concentration_adjusted_dependency,service_continuity_gap,public_priority_score,diagnostic_priority,scenario
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,0.96,0.86,0.88,0.64,0.54,0.4,0.52,0.22,0.18,0.2,0.28,0.42,0.3,0.9,0.76,0.94,0.6478080000000002,0.24960000000000002,0.7820628393984003,0.620576,1.4924628393984003,2.2054628393984004,reduce_supplier_concentration,baseline
SCR001,Generic injectable medicine,Health,medicine_shortage,0.96,0.82,0.78,0.62,0.52,0.56,0.4,0.28,0.24,0.26,0.3,0.44,0.34,0.84,0.86,0.96,0.6236160000000001,0.2964,0.72202529882112,0.486096,1.38562529882112,2.1286252988211203,reduce_supplier_concentration,baseline
SCR002,Water treatment chemicals,Water,water_utility_inputs,0.94,0.74,0.82,0.7,0.42,0.44,0.56,0.34,0.28,0.32,0.36,0.46,0.38,0.78,0.82,0.96,0.599344,0.3456,0.66404783570944,0.436896,1.2584478357094397,1.9854478357094398,reduce_supplier_concentration,baseline
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,0.9,0.84,0.82,0.58,0.66,0.36,0.42,0.3,0.22,0.24,0.32,0.48,0.36,0.86,0.62,0.84,0.58608,0.3028,0.6803606734848,0.537264,1.2775606734848002,1.9125606734848002,reduce_supplier_concentration,baseline
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,0.92,0.7,0.74,0.66,0.48,0.5,0.44,0.32,0.34,0.3,0.38,0.54,0.4,0.76,0.84,0.94,0.5626720000000001,0.3640000000000001,0.6135402496256,0.34187999999999996,1.1695402496256,1.8905402496255999,increase_inventory_or_strategic_reserves,baseline
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,0.88,0.76,0.72,0.68,0.34,0.48,0.6,0.36,0.3,0.34,0.38,0.44,0.42,0.7,0.78,0.88,0.541376,0.3628,0.5798284214272,0.38304,1.0970284214272001,1.7760284214272002,reduce_supplier_concentration,baseline
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,0.86,0.58,0.66,0.82,0.58,0.64,0.68,0.42,0.46,0.44,0.48,0.5,0.36,0.62,0.82,0.88,0.5655359999999999,0.4452,0.5643911741644799,0.206712,0.9791911741644799,1.66219117416448,diversify_logistics_routes_and_chokepoints,baseline
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,0.78,0.62,0.64,0.72,0.36,0.54,0.5,0.48,0.52,0.46,0.54,0.48,0.44,0.58,0.54,0.7,0.45021600000000006,0.4896,0.43246207420416005,0.190464,0.72286207420416,1.26686207420416,diversify_logistics_routes_and_chokepoints,baseline
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,0.96,0.5675999999999999,0.6688000000000001,0.5760000000000001,0.4968000000000001,0.36800000000000005,0.47840000000000005,0.33999999999999997,0.36,0.54,0.44000000000000006,0.6,0.44,0.7380000000000001,0.6992,0.94,0.5195135999999999,0.44120000000000004,0.5392816078374911,0.24295096319999995,1.058081607837491,1.755881607837491,increase_inventory_or_strategic_reserves,supplier_diversification
SCR001,Generic injectable medicine,Health,medicine_shortage,0.96,0.5411999999999999,0.5928,0.558,0.47840000000000005,0.5152000000000001,0.36800000000000005,0.4,0.42,0.6000000000000001,0.45999999999999996,0.62,0.48000000000000004,0.6888000000000001,0.7912,0.96,0.50259456,0.48800000000000004,0.5002905700388045,0.1860775488,0.9722905700388045,1.6980905700388045,close_service_continuity_gap,supplier_diversification
SCR002,Water treatment chemicals,Water,water_utility_inputs,0.94,0.48839999999999995,0.6232,0.63,0.3864,0.4048,0.5152000000000001,0.46,0.46,0.66,0.52,0.64,0.52,0.6396000000000001,0.7544,0.96,0.48457375999999996,0.5372,0.46143693220366433,0.1643602752,0.8642369322036644,1.5748369322036642,close_service_continuity_gap,supplier_diversification
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,0.9,0.5543999999999999,0.6232,0.522,0.6072000000000001,0.3312,0.3864,0.42,0.4,0.5800000000000001,0.48,0.6599999999999999,0.5,0.7052,0.5704,0.84,0.4704552000000001,0.49439999999999995,0.46896989841349646,0.20730124799999997,0.8745698984134964,1.4971698984134965,close_service_continuity_gap,supplier_diversification
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,0.92,0.4619999999999999,0.5624,0.5940000000000001,0.4416,0.46,0.4048,0.44,0.52,0.64,0.54,0.72,0.54,0.6232000000000001,0.7728,0.94,0.45684992,0.5556000000000001,0.4280386863738388,0.12471782399999998,0.7924386863738389,1.496638686373839,close_service_continuity_gap,supplier_diversification
