item_id,item_name,sector,supply_context,metric,value
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,disruption_pressure,0.6478080000000002
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,resilience_buffer_capacity,0.24960000000000002
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,shortage_risk,0.7820628393984003
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,concentration_adjusted_dependency,0.620576
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,service_continuity_gap,1.4924628393984003
SCR003,Grid transformers and critical spares,Energy,grid_component_dependency,public_priority_score,2.2054628393984004
SCR001,Generic injectable medicine,Health,medicine_shortage,disruption_pressure,0.6236160000000001
SCR001,Generic injectable medicine,Health,medicine_shortage,resilience_buffer_capacity,0.2964
SCR001,Generic injectable medicine,Health,medicine_shortage,shortage_risk,0.72202529882112
SCR001,Generic injectable medicine,Health,medicine_shortage,concentration_adjusted_dependency,0.486096
SCR001,Generic injectable medicine,Health,medicine_shortage,service_continuity_gap,1.38562529882112
SCR001,Generic injectable medicine,Health,medicine_shortage,public_priority_score,2.1286252988211203
SCR002,Water treatment chemicals,Water,water_utility_inputs,disruption_pressure,0.599344
SCR002,Water treatment chemicals,Water,water_utility_inputs,resilience_buffer_capacity,0.3456
SCR002,Water treatment chemicals,Water,water_utility_inputs,shortage_risk,0.66404783570944
SCR002,Water treatment chemicals,Water,water_utility_inputs,concentration_adjusted_dependency,0.436896
SCR002,Water treatment chemicals,Water,water_utility_inputs,service_continuity_gap,1.2584478357094397
SCR002,Water treatment chemicals,Water,water_utility_inputs,public_priority_score,1.9854478357094398
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,disruption_pressure,0.58608
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,resilience_buffer_capacity,0.3028
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,shortage_risk,0.6803606734848
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,concentration_adjusted_dependency,0.537264
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,service_continuity_gap,1.2775606734848002
SCR005,Semiconductor components,Digital Infrastructure,semiconductor_dependency,public_priority_score,1.9125606734848002
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,disruption_pressure,0.5626720000000001
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,resilience_buffer_capacity,0.3640000000000001
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,shortage_risk,0.6135402496256
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,concentration_adjusted_dependency,0.34187999999999996
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,service_continuity_gap,1.1695402496256
SCR008,Emergency response equipment,Emergency Services,emergency_procurement,public_priority_score,1.8905402496255999
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,disruption_pressure,0.541376
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,resilience_buffer_capacity,0.3628
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,shortage_risk,0.5798284214272
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,concentration_adjusted_dependency,0.38304
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,service_continuity_gap,1.0970284214272001
SCR004,Fertilizer inputs,Food Systems,agricultural_input_concentration,public_priority_score,1.7760284214272002
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,disruption_pressure,0.5655359999999999
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,resilience_buffer_capacity,0.4452
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,shortage_risk,0.5643911741644799
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,concentration_adjusted_dependency,0.206712
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,service_continuity_gap,0.9791911741644799
SCR006,Food cold-chain logistics,Food Systems,cold_chain_logistics,public_priority_score,1.66219117416448
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,disruption_pressure,0.45021600000000006
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,resilience_buffer_capacity,0.4896
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,shortage_risk,0.43246207420416005
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,concentration_adjusted_dependency,0.190464
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,service_continuity_gap,0.72286207420416
SCR007,Construction materials for public infrastructure,Infrastructure,construction_materials,public_priority_score,1.26686207420416
