scenario,system_id,system_name,scale_level,domain,region,adaptive_phase,growth_potential,connectedness,rigidity,resilience_capacity,release_pressure,reorganization_capacity,novelty_potential,memory_capacity,revolt_pressure,cross_scale_dependency,inequality_pressure,institutional_learning,ecological_buffer_condition,governance_flexibility,system_criticality,rigidity_reduction,connectedness_rebalancing,resilience_gain,release_pressure_reduction,reorganization_gain,novelty_gain,memory_gain,revolt_reduction,dependency_reduction,inequality_reduction,learning_gain,ecological_buffer_gain,governance_flexibility_gain,conservation_rigidity_index,release_risk_index,reorganization_potential_index,remember_capacity,revolt_cascade_pressure,resilience_trap_index,transformation_readiness,justice_weighted_reorganization_gap,diagnostic_priority
anti_rigidity_transition,ACP003,National drought governance system,national,food_water_system,Sub-Saharan Africa,K_conservation,0.48,0.6396000000000001,0.6232,0.56,0.6560000000000001,0.56,0.56,0.66,0.6536,0.6880000000000001,0.7051999999999999,0.62,0.54,0.62,0.86,0.24,0.18,0.2,0.18,0.22,0.18,0.16,0.14,0.14,0.14,0.22,0.2,0.26,0.6063920000000002,0.6771420800000002,0.5972000000000001,0.616,1.12589882881792,0.57767744,0.586416,0.3556302946388302,cross_scale_revolt_containment
anti_rigidity_transition,ACP008,Global climate governance architecture,global,climate_governance,Global,K_conservation,0.52,0.7216,0.6384,0.52,0.6724,0.52,0.54,0.8,0.6708000000000001,0.774,0.6192,0.64,0.6799999999999999,0.6000000000000001,0.94,0.24,0.18,0.2,0.18,0.22,0.18,0.16,0.14,0.14,0.14,0.22,0.2,0.26,0.6577200000000001,0.7007327999999999,0.6068,0.6951999999999999,1.1966961822978242,0.6015423999999999,0.6027040000000001,0.33589005687782125,cross_scale_revolt_containment
anti_rigidity_transition,ACP005,Port logistics dependency network,regional,supply_chain,Global,K_conservation,0.56,0.7052,0.6080000000000001,0.54,0.6396000000000001,0.54,0.52,0.58,0.6364,0.7223999999999999,0.46440000000000003,0.6,0.6000000000000001,0.6000000000000001,0.88,0.24,0.18,0.2,0.18,0.22,0.18,0.16,0.14,0.14,0.14,0.22,0.2,0.26,0.6325200000000002,0.6534608000000001,0.562,0.5932000000000001,1.1360709034162941,0.5615104,0.57496,0.24637371317094592,cross_scale_revolt_containment
anti_rigidity_transition,ACP001,Neighborhood flood adaptation district,local,urban_watershed,South Asia,K_conservation,0.54,0.6724,0.5928,0.6000000000000001,0.6068,0.6,0.6,0.62,0.602,0.6192,0.6536,0.66,0.56,0.66,0.74,0.24,0.18,0.2,0.18,0.22,0.18,0.16,0.14,0.14,0.14,0.22,0.2,0.26,0.589224,0.62504576,0.6228,0.6244000000000001,0.9590239863733759,0.53512768,0.6191840000000001,0.21545135194900544,cross_scale_revolt_containment
anti_rigidity_transition,ACP006,Post-disaster rebuilding coalition,regional,regional_transition,Latin America,Omega_release,0.62,0.42640000000000006,0.3496,0.64,0.7052,0.9,0.8799999999999999,0.74,0.7051999999999999,0.5676,0.6708000000000001,0.82,0.72,0.88,0.8,0.24,0.18,0.2,0.18,0.22,0.18,0.16,0.14,0.14,0.14,0.22,0.2,0.26,0.382808,0.6376579200000001,0.8508,0.7828,1.027320874176512,0.35542656,0.777824,0.04323291554113051,cross_scale_revolt_containment
anti_rigidity_transition,ACP002,Regional wetland restoration network,regional,ecological_infrastructure,Europe,alpha_reorganization,0.72,0.3936,0.2584,0.8600000000000001,0.37720000000000004,0.98,0.96,0.86,0.3268,0.46440000000000003,0.2924,0.94,0.96,1,0.68,0.24,0.18,0.2,0.18,0.22,0.18,0.16,0.14,0.14,0.14,0.22,0.2,0.26,0.305272,0.38477728,0.9508000000000001,0.9292,0.39978326883402865,0.22447104,0.935424,0,monitor_and_preserve_adaptive_capacity
anti_rigidity_transition,ACP004,Urban microgrid learning program,local,energy_system,North America,r_growth,0.78,0.3608,0.21280000000000002,0.8999999999999999,0.27880000000000005,0.94,0.94,0.74,0.2924,0.3956,0.3268,0.98,0.8200000000000001,1,0.72,0.24,0.18,0.2,0.18,0.22,0.18,0.16,0.14,0.14,0.14,0.22,0.2,0.26,0.266232,0.34479968000000005,0.92,0.8672,0.3558371668429824,0.23468224000000004,0.9212,0,monitor_and_preserve_adaptive_capacity
anti_rigidity_transition,ACP007,Community agroecology network,local,food_ecology,South America,r_growth,0.84,0.32800000000000007,0.1976,0.9199999999999999,0.2624,1,1,0.8200000000000001,0.2752,0.36119999999999997,0.34400000000000003,1,0.94,1,0.64,0.24,0.18,0.2,0.18,0.22,0.18,0.16,0.14,0.14,0.14,0.22,0.2,0.26,0.24372000000000002,0.3212448,0.9676,0.9256,0.30997322435543034,0.1970304,0.9621280000000001,0,monitor_and_preserve_adaptive_capacity
baseline,ACP003,National drought governance system,national,food_water_system,Sub-Saharan Africa,K_conservation,0.48,0.78,0.82,0.36,0.8,0.34,0.38,0.5,0.76,0.8,0.82,0.4,0.34,0.36,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7776000000000001,0.797824,0.3904,0.4128,1.52262711936,0.736032,0.372512,0.8449717587078658,anti_rigidity_transition
baseline,ACP008,Global climate governance architecture,global,climate_governance,Global,K_conservation,0.52,0.88,0.84,0.32,0.82,0.3,0.36,0.64,0.78,0.9,0.72,0.42,0.48,0.34,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8392000000000001,0.8242079999999999,0.39999999999999997,0.49200000000000005,1.6304166683999999,0.760944,0.3888,0.8260600897213437,anti_rigidity_transition
