scenario,place_id,place_name,region,mobility_context,hazard_pressure,livelihood_stress,conflict_insecurity_pressure,exposure,social_vulnerability,adaptive_capacity,mobility_resources,protection_access,migration_network_strength,destination_service_capacity,host_community_support,recovery_capacity,arrival_pressure,hazard_reduction,livelihood_stress_reduction,conflict_reduction,exposure_reduction,vulnerability_reduction,adaptive_capacity_gain,mobility_resources_gain,protection_access_gain,network_gain,destination_capacity_gain,host_support_gain,recovery_gain,arrival_pressure_reduction,mobility_pressure,adaptive_mobility_capacity,forced_displacement_risk,trapped_population_risk,destination_stress,mobility_resilience_gap,diagnostic_priority
baseline,MDR008,Climate-conflict food insecurity displacement area,East Africa,compound_climate_conflict,0.86,0.88,0.78,0.84,0.86,0.28,0.26,0.24,0.4,0.32,0.34,0.28,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8444000000000002,0.30080000000000007,0.949862722816,0,0.6821705426356589,1.331233265451659,strengthen_rights_and_protection_access
baseline,MDR002,Conflict displacement and host-service pressure zone,Middle East and North Africa,conflict_forced_displacement,0.72,0.76,0.9,0.82,0.84,0.3,0.28,0.26,0.48,0.34,0.36,0.3,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806,0.3292,0.88845931304,0,0.6370370370370371,1.1962963500770372,strengthen_rights_and_protection_access
baseline,MDR004,Flood-displacement urban settlement,South Asia,flood_displacement_informality,0.88,0.72,0.44,0.86,0.82,0.34,0.3,0.32,0.42,0.36,0.38,0.34,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7444000000000001,0.35000000000000003,0.807151059,0,0.5454545454545455,1.0026056044545455,strengthen_rights_and_protection_access
baseline,MDR001,Drought-affected livelihood migration corridor,Sub-Saharan Africa,drought_livelihood_mobility,0.82,0.86,0.42,0.74,0.78,0.38,0.36,0.34,0.52,0.42,0.46,0.38,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7256,0.4062,0.754847724248,0,0.3975155279503106,0.7461632521983105,strengthen_rights_and_protection_access
baseline,MDR003,Coastal relocation planning district,Small Islands,coastal_planned_relocation,0.86,0.64,0.3,0.82,0.66,0.48,0.44,0.46,0.5,0.42,0.44,0.4,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6568,0.45039999999999997,0.6446498042559999,0,0.36024844720496896,0.5544982514609689,close_mobility_resilience_gap
baseline,MDR006,Trapped heat-exposed urban poor district,North America,involuntary_immobility_heat,0.78,0.68,0.22,0.8,0.76,0.4,0.24,0.36,0.3,0.54,0.48,0.42,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6476,0.38800000000000007,0.6767137646399999,0,0.223463687150838,0.5121774517908377,strengthen_rights_and_protection_access
baseline,MDR005,Seasonal labor migration and remittance network,South Asia,seasonal_labor_remittances,0.56,0.62,0.24,0.54,0.58,0.58,0.62,0.54,0.76,0.58,0.6,0.56,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5084,0.605,0.44509568429999996,0,0.22966507177033493,0.06976075607033494,monitor_and_strengthen_adaptive_mobility
baseline,MDR007,High-capacity adaptive mobility region,Europe,planned_adaptive_mobility,0.52,0.42,0.18,0.46,0.36,0.78,0.76,0.82,0.7,0.78,0.76,0.74,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38920000000000005,0.7647999999999999,0.287414796928,0,0.12927756653992398,0,monitor_and_strengthen_adaptive_mobility
host_community_service_investment,MDR008,Climate-conflict food insecurity displacement area,East Africa,compound_climate_conflict,0.8256,0.8271999999999999,0.7332,0.7896,0.7912,0.42000000000000004,0.4,0.4,0.54,0.66,0.68,0.56,0.6864,0.04,0.06,0.06,0.06,0.08,0.14,0.14,0.16,0.14,0.34,0.34,0.28,0.22,0.79408,0.5148000000000001,0.7790788066602239,0,0.30506666666666665,0.5693454733268903,strengthen_rights_and_protection_access
host_community_service_investment,MDR002,Conflict displacement and host-service pressure zone,Middle East and North Africa,conflict_forced_displacement,0.6911999999999999,0.7143999999999999,0.846,0.7707999999999999,0.7728,0.44,0.42000000000000004,0.42000000000000004,0.62,0.68,0.7,0.5800000000000001,0.6708000000000001,0.04,0.06,0.06,0.06,0.08,0.14,0.14,0.16,0.14,0.34,0.34,0.28,0.22,0.757448,0.5432,0.7270924145748224,0,0.2903896103896104,0.47428202496443295,monitor_and_strengthen_adaptive_mobility
host_community_service_investment,MDR004,Flood-displacement urban settlement,South Asia,flood_displacement_informality,0.8448,0.6768,0.41359999999999997,0.8083999999999999,0.7544,0.48000000000000004,0.44,0.48,0.56,0.7,0.72,0.6200000000000001,0.6084,0.04,0.06,0.06,0.06,0.08,0.14,0.14,0.16,0.14,0.34,0.34,0.28,0.22,0.700328,0.5640000000000001,0.6605680319405439,0,0.254560669456067,0.3511287013966109,monitor_and_strengthen_adaptive_mobility
host_community_service_investment,MDR001,Drought-affected livelihood migration corridor,Sub-Saharan Africa,drought_livelihood_mobility,0.7871999999999999,0.8083999999999999,0.3948,0.6956,0.7176,0.52,0.5,0.5,0.66,0.76,0.8,0.66,0.49920000000000003,0.04,0.06,0.06,0.06,0.08,0.14,0.14,0.16,0.14,0.34,0.34,0.28,0.22,0.6825519999999999,0.6202000000000001,0.6156439908322912,0,0.1942412451361868,0.18968523596847786,monitor_and_strengthen_adaptive_mobility
host_community_service_investment,MDR006,Trapped heat-exposed urban poor district,North America,involuntary_immobility_heat,0.7488,0.6392,0.20679999999999998,0.752,0.6992,0.54,0.38,0.52,0.44,0.8800000000000001,0.8200000000000001,0.7,0.31200000000000006,0.04,0.06,0.06,0.06,0.08,0.14,0.14,0.16,0.14,0.34,0.34,0.28,0.22,0.6091360000000001,0.602,0.5528063628158721,0,0.11345454545454547,0.06426090827041764,expand_safe_mobility_resources
host_community_service_investment,MDR003,Coastal relocation planning district,Small Islands,coastal_planned_relocation,0.8256,0.6016,0.282,0.7707999999999999,0.6072000000000001,0.62,0.5800000000000001,0.62,0.64,0.76,0.78,0.68,0.45239999999999997,0.04,0.06,0.06,0.06,0.08,0.14,0.14,0.16,0.14,0.34,0.34,0.28,0.22,0.618536,0.6644,0.5257560765201345,0,0.17603112840466925,0.03738720492480374,monitor_and_strengthen_adaptive_mobility
host_community_service_investment,MDR005,Seasonal labor migration and remittance network,South Asia,seasonal_labor_remittances,0.5376000000000001,0.5828,0.22559999999999997,0.5076,0.5336,0.72,0.76,0.7000000000000001,0.9,0.9199999999999999,0.94,0.8400000000000001,0.3744,0.04,0.06,0.06,0.06,0.08,0.14,0.14,0.16,0.14,0.34,0.34,0.28,0.22,0.47803999999999996,0.8190000000000001,0.35823342494008,0,0.12275409836065575,0,monitor_and_strengthen_adaptive_mobility
host_community_service_investment,MDR007,High-capacity adaptive mobility region,Europe,planned_adaptive_mobility,0.4992,0.3948,0.1692,0.4324,0.3312,0.92,0.9,0.98,0.84,1,1,1,0.26520000000000005,0.04,0.06,0.06,0.06,0.08,0.14,0.14,0.16,0.14,0.34,0.34,0.28,0.22,0.366696,0.9466,0.23489502788568964,0,0.07916417910447762,0,monitor_and_strengthen_adaptive_mobility
integrated_mobility_resilience,MDR008,Climate-conflict food insecurity displacement area,East Africa,compound_climate_conflict,0.6536,0.5808,0.5928,0.6048,0.5675999999999999,0.6200000000000001,0.6000000000000001,0.5800000000000001,0.72,0.66,0.68,0.6200000000000001,0.6335999999999999,0.24,0.34,0.24,0.28,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.28,0.600896,0.6380000000000001,0.5134804825437438,0,0.27428571428571424,0.1497661968294579,monitor_and_strengthen_adaptive_mobility
integrated_mobility_resilience,MDR002,Conflict displacement and host-service pressure zone,Middle East and North Africa,conflict_forced_displacement,0.5472,0.5015999999999999,0.684,0.5903999999999999,0.5543999999999999,0.64,0.6200000000000001,0.6000000000000001,0.8,0.68,0.7,0.64,0.6192,0.24,0.34,0.24,0.28,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.28,0.5746560000000001,0.6664000000000001,0.48039591463802883,0,0.2612658227848101,0.07526173742283881,monitor_and_strengthen_adaptive_mobility
integrated_mobility_resilience,MDR004,Flood-displacement urban settlement,South Asia,flood_displacement_informality,0.6688000000000001,0.4751999999999999,0.33440000000000003,0.6192,0.5411999999999999,0.68,0.64,0.66,0.74,0.7,0.72,0.68,0.5616,0.24,0.34,0.24,0.28,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.28,0.528752,0.6872,0.43442463088451844,0,0.2292244897959184,0,monitor_and_strengthen_adaptive_mobility
integrated_mobility_resilience,MDR001,Drought-affected livelihood migration corridor,Sub-Saharan Africa,drought_livelihood_mobility,0.6232,0.5675999999999999,0.3192,0.5327999999999999,0.5147999999999999,0.72,0.7,0.68,0.8400000000000001,0.76,0.8,0.72,0.4608,0.24,0.34,0.24,0.28,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.28,0.513328,0.7434000000000001,0.4031546620979488,0,0.17520912547528517,0,monitor_and_strengthen_adaptive_mobility
integrated_mobility_resilience,MDR006,Trapped heat-exposed urban poor district,North America,involuntary_immobility_heat,0.5928,0.4488,0.16720000000000002,0.576,0.5015999999999999,0.74,0.5800000000000001,0.7,0.62,0.8800000000000001,0.8200000000000001,0.76,0.288,0.24,0.34,0.24,0.28,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.28,0.457616,0.7252000000000001,0.36239880906095356,0,0.10249110320284698,0,monitor_and_strengthen_adaptive_mobility
integrated_mobility_resilience,MDR003,Coastal relocation planning district,Small Islands,coastal_planned_relocation,0.6536,0.42239999999999994,0.22799999999999998,0.5903999999999999,0.4356,0.8200000000000001,0.78,0.8,0.8200000000000001,0.76,0.78,0.74,0.41759999999999997,0.24,0.34,0.24,0.28,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.28,0.467264,0.7876000000000001,0.3476468115690752,0,0.15878326996197717,0,monitor_and_strengthen_adaptive_mobility
integrated_mobility_resilience,MDR005,Seasonal labor migration and remittance network,South Asia,seasonal_labor_remittances,0.42560000000000003,0.40919999999999995,0.1824,0.38880000000000003,0.3827999999999999,0.9199999999999999,0.96,0.8800000000000001,1,0.9199999999999999,0.94,0.9000000000000001,0.34559999999999996,0.24,0.34,0.24,0.28,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.28,0.35849600000000004,0.931,0.23621268422518402,0,0.11112540192926043,0,monitor_and_strengthen_adaptive_mobility
integrated_mobility_resilience,MDR007,High-capacity adaptive mobility region,Europe,planned_adaptive_mobility,0.3952,0.27719999999999995,0.1368,0.3312,0.23759999999999995,1,1,1,1,1,1,1,0.24480000000000002,0.24,0.34,0.24,0.28,0.34,0.34,0.34,0.34,0.32,0.34,0.34,0.34,0.28,0.27687999999999996,1,0.16494793743999997,0,0.07307462686567165,0,monitor_and_strengthen_adaptive_mobility
origin_resilience_and_livelihoods,MDR008,Climate-conflict food insecurity displacement area,East Africa,compound_climate_conflict,0.7052,0.5983999999999999,0.7020000000000001,0.6888000000000001,0.6708000000000001,0.54,0.44,0.42,0.56,0.44,0.48000000000000004,0.46,0.8271999999999999,0.18,0.32,0.1,0.18,0.22,0.26,0.18,0.18,0.16,0.12,0.14,0.18,0.06,0.6733680000000001,0.47720000000000007,0.6529133310945504,0,0.478150289017341,0.6538636201118913,close_mobility_resilience_gap
origin_resilience_and_livelihoods,MDR002,Conflict displacement and host-service pressure zone,Middle East and North Africa,conflict_forced_displacement,0.5904,0.5167999999999999,0.81,0.6724,0.6552,0.56,0.46,0.44,0.64,0.46,0.5,0.48,0.8083999999999999,0.18,0.32,0.1,0.18,0.22,0.26,0.18,0.18,0.16,0.12,0.14,0.18,0.06,0.6473200000000001,0.5056,0.614711328535552,0,0.4516201117318435,0.5607314402673955,close_mobility_resilience_gap
origin_resilience_and_livelihoods,MDR004,Flood-displacement urban settlement,South Asia,flood_displacement_informality,0.7216,0.4895999999999999,0.396,0.7052,0.6396,0.6000000000000001,0.48,0.5,0.58,0.48,0.52,0.52,0.7332,0.18,0.32,0.1,0.18,0.22,0.26,0.18,0.18,0.16,0.12,0.14,0.18,0.06,0.590728,0.5264,0.5517116225754496,0,0.39208556149732615,0.4173971840727757,monitor_and_strengthen_adaptive_mobility
origin_resilience_and_livelihoods,MDR001,Drought-affected livelihood migration corridor,Sub-Saharan Africa,drought_livelihood_mobility,0.6724,0.5848,0.378,0.6068,0.6084,0.64,0.54,0.52,0.68,0.54,0.6000000000000001,0.56,0.6016,0.18,0.32,0.1,0.18,0.22,0.26,0.18,0.18,0.16,0.12,0.14,0.18,0.06,0.571392,0.5826000000000001,0.5113635678941184,0,0.2934634146341463,0.22222698252826467,monitor_and_strengthen_adaptive_mobility
origin_resilience_and_livelihoods,MDR003,Coastal relocation planning district,Small Islands,coastal_planned_relocation,0.7052,0.4352,0.27,0.6724,0.5148,0.74,0.62,0.64,0.66,0.54,0.5800000000000001,0.5800000000000001,0.5451999999999999,0.18,0.32,0.1,0.18,0.22,0.26,0.18,0.18,0.16,0.12,0.14,0.18,0.06,0.5201760000000001,0.6268,0.44074430770753925,0,0.265951219512195,0.07989552721973425,monitor_and_strengthen_adaptive_mobility
origin_resilience_and_livelihoods,MDR006,Trapped heat-exposed urban poor district,North America,involuntary_immobility_heat,0.6396000000000001,0.4624,0.198,0.6560000000000001,0.5928,0.66,0.42,0.54,0.45999999999999996,0.66,0.62,0.6,0.376,0.18,0.32,0.1,0.18,0.22,0.26,0.18,0.18,0.16,0.12,0.14,0.18,0.06,0.5094320000000001,0.5644,0.45889850029358725,0,0.16860986547085202,0.06310836576443923,monitor_and_strengthen_adaptive_mobility
origin_resilience_and_livelihoods,MDR005,Seasonal labor migration and remittance network,South Asia,seasonal_labor_remittances,0.45920000000000005,0.4216,0.216,0.4428000000000001,0.45239999999999997,0.84,0.8,0.72,0.92,0.7,0.74,0.74,0.45119999999999993,0.18,0.32,0.1,0.18,0.22,0.26,0.18,0.18,0.16,0.12,0.14,0.18,0.06,0.398728,0.7813999999999999,0.29945784846382245,0,0.1783399209486166,0,monitor_and_strengthen_adaptive_mobility
origin_resilience_and_livelihoods,MDR007,High-capacity adaptive mobility region,Europe,planned_adaptive_mobility,0.42640000000000006,0.28559999999999997,0.162,0.37720000000000004,0.2808,1,0.94,1,0.86,0.9,0.9,0.9199999999999999,0.3196,0.18,0.32,0.1,0.18,0.22,0.26,0.18,0.18,0.16,0.12,0.14,0.18,0.06,0.307384,0.9347999999999999,0.1955815338799168,0,0.1041042345276873,0,monitor_and_strengthen_adaptive_mobility
safe_mobility_and_protection,MDR008,Climate-conflict food insecurity displacement area,East Africa,compound_climate_conflict,0.8083999999999999,0.8096,0.7176,0.7728,0.774,0.42000000000000004,0.6000000000000001,0.5800000000000001,0.5800000000000001,0.46,0.5,0.46,0.8096,0.06,0.08,0.08,0.08,0.1,0.14,0.34,0.34,0.18,0.14,0.16,0.18,0.08,0.777192,0.5158,0.7584705335659918,0,0.4574011299435028,0.7000716635094946,close_mobility_resilience_gap
safe_mobility_and_protection,MDR002,Conflict displacement and host-service pressure zone,Middle East and North Africa,conflict_forced_displacement,0.6768,0.6992,0.8280000000000001,0.7544,0.756,0.44,0.6200000000000001,0.6000000000000001,0.6599999999999999,0.48000000000000004,0.52,0.48,0.7912,0.06,0.08,0.08,0.08,0.1,0.14,0.34,0.34,0.18,0.14,0.16,0.18,0.08,0.741328,0.5442,0.7079030817167679,0,0.4323497267759563,0.5960528084927241,close_mobility_resilience_gap
safe_mobility_and_protection,MDR004,Flood-displacement urban settlement,South Asia,flood_displacement_informality,0.8271999999999999,0.6624,0.4048,0.7912,0.738,0.48000000000000004,0.64,0.66,0.6,0.5,0.54,0.52,0.7176,0.06,0.08,0.08,0.08,0.1,0.14,0.34,0.34,0.18,0.14,0.16,0.18,0.08,0.68544,0.5650000000000001,0.643201285104,0,0.3757068062827225,0.4539080913867225,monitor_and_strengthen_adaptive_mobility
safe_mobility_and_protection,MDR001,Drought-affected livelihood migration corridor,Sub-Saharan Africa,drought_livelihood_mobility,0.7707999999999999,0.7912,0.3864,0.6808000000000001,0.7020000000000001,0.52,0.7,0.68,0.7,0.56,0.62,0.56,0.5888,0.06,0.08,0.08,0.08,0.1,0.14,0.34,0.34,0.18,0.14,0.16,0.18,0.08,0.66804,0.6212000000000001,0.5995505497768798,0,0.28172248803827754,0.26007303781515734,monitor_and_strengthen_adaptive_mobility
safe_mobility_and_protection,MDR003,Coastal relocation planning district,Small Islands,coastal_planned_relocation,0.8083999999999999,0.5888,0.276,0.7544,0.5940000000000001,0.62,0.78,0.8,0.6799999999999999,0.56,0.6,0.5800000000000001,0.5336,0.06,0.08,0.08,0.08,0.1,0.14,0.34,0.34,0.18,0.14,0.16,0.18,0.08,0.6054,0.6654,0.5123006817162,0,0.255311004784689,0.10221168650088908,monitor_and_strengthen_adaptive_mobility
safe_mobility_and_protection,MDR006,Trapped heat-exposed urban poor district,North America,involuntary_immobility_heat,0.7332,0.6256,0.2024,0.7360000000000001,0.684,0.54,0.5800000000000001,0.7,0.48,0.68,0.64,0.6,0.36800000000000005,0.06,0.08,0.08,0.08,0.1,0.14,0.34,0.34,0.18,0.14,0.16,0.18,0.08,0.596184,0.603,0.5384070991010401,0,0.16211453744493395,0.09752163654597412,monitor_and_strengthen_adaptive_mobility
safe_mobility_and_protection,MDR005,Seasonal labor migration and remittance network,South Asia,seasonal_labor_remittances,0.5264,0.5704,0.2208,0.4968000000000001,0.522,0.72,0.96,0.8800000000000001,0.94,0.72,0.76,0.74,0.4416,0.06,0.08,0.08,0.08,0.1,0.14,0.34,0.34,0.18,0.14,0.16,0.18,0.08,0.467872,0.8200000000000001,0.3491652472864,0,0.17182879377431906,0,monitor_and_strengthen_adaptive_mobility
safe_mobility_and_protection,MDR007,High-capacity adaptive mobility region,Europe,planned_adaptive_mobility,0.4888,0.3864,0.1656,0.4232,0.324,0.92,1,1,0.8799999999999999,0.92,0.92,0.9199999999999999,0.3128,0.06,0.08,0.08,0.08,0.1,0.14,0.34,0.34,0.18,0.14,0.16,0.18,0.08,0.35891200000000006,0.9392,0.23072034274508801,0,0.10057877813504824,0,monitor_and_strengthen_adaptive_mobility
trapped_population_protection,MDR008,Climate-conflict food insecurity displacement area,East Africa,compound_climate_conflict,0.774,0.7568,0.7176,0.7392,0.6192,0.48000000000000004,0.56,0.52,0.64,0.5,0.52,0.48000000000000004,0.8096,0.1,0.14,0.08,0.12,0.28,0.2,0.3,0.28,0.24,0.18,0.18,0.2,0.08,0.722056,0.5288,0.6694826035548928,0,0.4376216216216216,0.5783042251765144,close_mobility_resilience_gap
