scenario,system_id,system_name,domain,region,stress_type,visible_performance,stress_accumulation,buffer_erosion,deferred_maintenance,institutional_drift,signal_normalization,standard_erosion,threshold_proximity,adaptation_debt,ecological_support_erosion,social_strain,trust_erosion,monitoring_capacity,response_capacity,justice_pressure,system_criticality,stress_reduction,buffer_restoration,maintenance_reduction,drift_reduction,signal_denormalization,standards_restoration,threshold_reduction,adaptation_debt_reduction,ecological_restoration,social_strain_reduction,trust_repair,monitoring_gain,response_gain,hidden_stress_index,drift_index,latent_instability,resilience_margin,performance_misalignment,fragility_score,justice_weighted_fragility,resilience_gap,fragility_band,margin_band,diagnostic_priority
anti_drift_governance,FHS006,Dryland smallholder farming region,food_water_system,Sub-Saharan Africa,drought_heat,0.64,0.756,0.6536,0.4536,0.4712,0.5304000000000001,0.45599999999999996,0.7215999999999999,0.576,0.6864,0.6880000000000001,0.4756,0.62,0.58,0.78,0.76,0.1,0.14,0.16,0.24,0.22,0.24,0.12,0.2,0.12,0.14,0.18,0.2,0.22,0.62304,0.47284800000000005,0.6523680000000001,0.45588800000000007,0.26304000000000005,0.6212188416000001,0.7908115853568001,0.3349235853568,elevated,moderate,justice_centered_margin_repair
anti_drift_governance,FHS002,Overloaded public health system,public_health,Latin America,heat_disease_workforce,0.74,0.684,0.5332,0.48719999999999997,0.5319999999999999,0.5148,0.4864,0.528,0.6240000000000001,0.2992,0.7051999999999999,0.5248,0.7,0.66,0.76,0.9,0.1,0.14,0.16,0.24,0.22,0.24,0.12,0.2,0.12,0.14,0.18,0.2,0.22,0.561996,0.484328,0.5876245600000001,0.570072,0.30199600000000004,0.6094455046400001,0.7715580088742402,0.20148600887424017,elevated,moderate,justice_centered_margin_repair
anti_drift_governance,FHS003,Degraded watershed and water utility,watershed_ecology,South America,drought_flood,0.7,0.7020000000000001,0.602,0.47040000000000004,0.41040000000000004,0.45239999999999997,0.3952,0.6688000000000001,0.48,0.7215999999999999,0.4472,0.37720000000000004,0.6799999999999999,0.64,0.5,0.78,0.1,0.14,0.16,0.24,0.22,0.24,0.12,0.2,0.12,0.14,0.18,0.2,0.22,0.554968,0.407,0.6046356800000001,0.511736,0.254968,0.563294228224,0.6618707181632,0.1501347181632,moderate,moderate,performance_metric_redesign
anti_drift_governance,FHS001,Aging coastal bridge network,critical_infrastructure,North America,storm_surge_flood,0.78,0.648,0.5676,0.6215999999999999,0.44079999999999997,0.48360000000000003,0.45599999999999996,0.5984,0.44800000000000006,0.3696,0.43,0.3936,0.74,0.68,0.52,0.86,0.1,0.14,0.16,0.24,0.22,0.24,0.12,0.2,0.12,0.14,0.18,0.2,0.22,0.513164,0.43167199999999994,0.5847490399999999,0.560104,0.293164,0.5671453904639999,0.6703658515284479,0.11026185152844781,moderate,moderate,performance_metric_redesign
anti_drift_governance,FHS004,Just-in-time food distribution corridor,food_supply_chain,Global,supply_disruption,0.86,0.6120000000000001,0.6192,0.3864,0.38,0.45239999999999997,0.41040000000000004,0.5456,0.512,0.264,0.48160000000000003,0.3608,0.78,0.62,0.62,0.84,0.1,0.14,0.16,0.24,0.22,0.24,0.12,0.2,0.12,0.14,0.18,0.2,0.22,0.479712,0.38600799999999996,0.5436547199999999,0.5472640000000001,0.339712,0.5379288442879999,0.6546594034984959,0.10739540349849586,moderate,moderate,performance_metric_redesign
anti_drift_governance,FHS005,Centralized digital civic platform,digital_infrastructure,Asia,cyber_outage,0.82,0.5940000000000001,0.5848,0.4368,0.42560000000000003,0.46799999999999997,0.44079999999999997,0.4752,0.496,0.2112,0.36119999999999997,0.41000000000000003,0.8400000000000001,0.7,0.44,0.82,0.1,0.14,0.16,0.24,0.22,0.24,0.12,0.2,0.12,0.14,0.18,0.2,0.22,0.45949999999999996,0.40448,0.5121420000000001,0.605232,0.27949999999999997,0.5096297824,0.5881127688896,0,moderate,moderate,performance_metric_redesign
anti_drift_governance,FHS007,Community microgrid network,energy_system,Europe,storm_grid_stress,0.8,0.342,0.2752,0.252,0.2584,0.2808,0.22799999999999998,0.2992,0.22400000000000003,0.2288,0.2924,0.22960000000000003,0.96,0.94,0.3,0.7,0.1,0.14,0.16,0.24,0.22,0.24,0.12,0.2,0.12,0.14,0.18,0.2,0.22,0.26985200000000004,0.227856,0.34142872,0.828576,0.06985200000000003,0.27841786304,0.3076517386592,0,lower,elevated,monitor_and_rebuild_margin
anti_drift_governance,FHS008,Regenerative watershed-city region,regional_transition,Europe,compound_climate_stress,0.78,0.30600000000000005,0.258,0.23520000000000002,0.2432,0.23399999999999999,0.21280000000000002,0.2816,0.20800000000000002,0.2112,0.258,0.21320000000000003,1,0.98,0.28,0.64,0.1,0.14,0.16,0.24,0.22,0.24,0.12,0.2,0.12,0.14,0.18,0.2,0.22,0.24691600000000002,0.19970400000000002,0.31354696,0.856792,0.02691600000000005,0.24078879846400003,0.26438610071347207,0,lower,elevated,monitor_and_rebuild_margin
baseline,FHS006,Dryland smallholder farming region,food_water_system,Sub-Saharan Africa,drought_heat,0.64,0.84,0.76,0.54,0.62,0.68,0.6,0.82,0.72,0.78,0.8,0.58,0.42,0.36,0.78,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726,0.6280000000000001,0.7475600000000001,0.30119999999999997,0.366,0.756428736,0.962933780928,0.661733780928,elevated,lower,threshold_avoidance_priority
baseline,FHS002,Overloaded public health system,public_health,Latin America,heat_disease_workforce,0.74,0.76,0.62,0.58,0.7,0.66,0.64,0.6,0.78,0.34,0.82,0.64,0.5,0.44,0.76,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658,0.6468,0.67244,0.4268,0.398,0.7433025600000001,0.94102104096,0.5142210409600001,elevated,moderate,justice_centered_margin_repair
baseline,FHS003,Degraded watershed and water utility,watershed_ecology,South America,drought_flood,0.7,0.78,0.7,0.56,0.54,0.58,0.52,0.76,0.6,0.82,0.52,0.46,0.48,0.42,0.5,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6456000000000001,0.5448000000000001,0.6904160000000001,0.3612,0.3456,0.6837357888,0.8033895518399999,0.4421895518399999,elevated,lower,threshold_avoidance_priority
baseline,FHS001,Aging coastal bridge network,critical_infrastructure,North America,storm_surge_flood,0.78,0.72,0.66,0.74,0.58,0.62,0.6,0.68,0.56,0.42,0.5,0.48,0.54,0.46,0.52,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5990000000000001,0.5796,0.6676600000000001,0.41319999999999996,0.3790000000000001,0.6886892160000002,0.8140306533120002,0.40083065331200024,elevated,moderate,performance_metric_redesign
baseline,FHS004,Just-in-time food distribution corridor,food_supply_chain,Global,supply_disruption,0.86,0.68,0.72,0.46,0.5,0.58,0.54,0.62,0.64,0.3,0.56,0.44,0.58,0.4,0.62,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5603999999999999,0.5216,0.6200239999999999,0.39880000000000004,0.4203999999999999,0.6502512895999999,0.7913558194431999,0.39255581944319984,elevated,lower,performance_metric_redesign
