scenario,system_id,system_name,region,water_stress_type,drought_pressure,flood_exposure,water_demand_pressure,water_availability,infrastructure_reliability,water_quality,ecosystem_buffer_condition,governance_capacity,social_protection_capacity,livelihood_water_dependency,critical_service_dependence,inequality_pressure,recovery_capacity,maintenance_deficit,pollution_pressure,drought_reduction,flood_reduction,demand_reduction,availability_gain,infrastructure_gain,quality_gain,ecosystem_gain,governance_gain,social_protection_gain,livelihood_dependency_reduction,critical_service_dependency_reduction,inequality_reduction,recovery_gain,maintenance_reduction,pollution_reduction,water_stress_ratio,water_security_capacity,hydrological_risk_pressure,systemic_water_vulnerability,justice_weighted_water_risk,water_resilience_gap,diagnostic_priority
baseline,WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,0.62,0.86,0.74,0.44,0.46,0.36,0.4,0.42,0.36,0.68,0.82,0.8,0.36,0.72,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.510204081632653,0.4108,0.7763999999999999,0.7036000000000001,1.8352,1.4243999999999999,flood_risk_reduction_and_protection
baseline,WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,0.88,0.42,0.84,0.34,0.42,0.48,0.36,0.4,0.34,0.86,0.72,0.82,0.36,0.7,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.39,0.7084,0.734,1.7972304000000001,1.4072304,drought_resilience_and_demand_management
baseline,WSR006,Water-service fragility settlement,Latin America,service_fragility,0.68,0.7,0.78,0.46,0.36,0.4,0.38,0.38,0.34,0.76,0.8,0.74,0.36,0.78,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5294117647058825,0.39080000000000004,0.7512,0.7152000000000001,1.7919408000000001,1.4011408,water_quality_and_public_health
baseline,WSR007,Food-water-energy stress region,South Asia,food_water_energy,0.82,0.58,0.88,0.38,0.44,0.48,0.36,0.44,0.38,0.84,0.86,0.76,0.38,0.72,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.41279999999999994,0.732,0.7352000000000001,1.8017216,1.3889216000000002,drought_resilience_and_demand_management
baseline,WSR002,Urban flood and drainage district,South Asia,flood_urban,0.44,0.88,0.72,0.56,0.38,0.44,0.34,0.42,0.36,0.62,0.84,0.78,0.34,0.76,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1803278688524588,0.42240000000000005,0.7372,0.6936,1.7656072,1.3432072,flood_risk_reduction_and_protection
baseline,WSR003,Groundwater depletion corridor,North America,groundwater_depletion,0.76,0.38,0.86,0.32,0.58,0.54,0.42,0.52,0.46,0.74,0.68,0.58,0.48,0.64,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4688,0.6388,0.6084,1.4642128,0.9954128000000001,drought_resilience_and_demand_management
baseline,WSR008,Climate-resilient water corridor,South America,integrated_resilience,0.46,0.48,0.52,0.7,0.72,0.74,0.78,0.74,0.72,0.42,0.52,0.4,0.7,0.36,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6933333333333334,0.7332000000000001,0.46919999999999995,0.38360000000000005,0.9551360000000001,0.22193600000000002,monitor_and_preserve_water_security
baseline,WSR005,Restored watershed and floodplain city,Europe,watershed_restoration,0.42,0.46,0.48,0.74,0.74,0.76,0.82,0.76,0.7,0.38,0.48,0.34,0.72,0.34,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6075949367088607,0.756,0.4289670886075949,0.3476,0.8557769316455697,0.09977693164556967,monitor_and_preserve_water_security
drought_demand_management,WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,0.5084000000000001,0.8428,0.592,0.54,0.54,0.42,0.5,0.56,0.45999999999999996,0.6120000000000001,0.7707999999999999,0.7360000000000001,0.45999999999999996,0.648,0.644,0.18,0.02,0.2,0.1,0.08,0.06,0.1,0.14,0.1,0.1,0.06,0.08,0.1,0.1,0.08,1.0033898305084743,0.5072000000000001,0.7238880000000001,0.6207199999999999,1.6414974464000003,1.1342974464000002,flood_risk_reduction_and_protection
drought_demand_management,WSR006,Water-service fragility settlement,Latin America,service_fragility,0.5576000000000001,0.6859999999999999,0.6240000000000001,0.56,0.44,0.46,0.48,0.52,0.44000000000000006,0.684,0.752,0.6808000000000001,0.45999999999999996,0.7020000000000001,0.5888,0.18,0.02,0.2,0.1,0.08,0.06,0.1,0.14,0.1,0.1,0.06,0.08,0.1,0.1,0.08,1.022950819672131,0.4872,0.6967679999999999,0.6315040000000001,1.5995582732800002,1.1123582732800001,close_water_resilience_gap
drought_demand_management,WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,0.7216,0.41159999999999997,0.672,0.44000000000000006,0.5,0.54,0.45999999999999996,0.54,0.44000000000000006,0.774,0.6768,0.7544,0.45999999999999996,0.63,0.5336,0.18,0.02,0.2,0.1,0.08,0.06,0.1,0.14,0.1,0.1,0.06,0.08,0.1,0.1,0.08,1.3714285714285714,0.4864,0.648816,0.6477120000000001,1.5899582169599997,1.1035582169599998,drought_resilience_and_demand_management
drought_demand_management,WSR007,Food-water-energy stress region,South Asia,food_water_energy,0.6724,0.5683999999999999,0.7040000000000001,0.48,0.52,0.54,0.45999999999999996,0.5800000000000001,0.48,0.756,0.8083999999999999,0.6992,0.48,0.648,0.5152000000000001,0.18,0.02,0.2,0.1,0.08,0.06,0.1,0.14,0.1,0.1,0.06,0.08,0.1,0.1,0.08,1.328301886792453,0.5092,0.6742079999999999,0.6485759999999999,1.6002511718399999,1.0910511718399998,close_water_resilience_gap
drought_demand_management,WSR002,Urban flood and drainage district,South Asia,flood_urban,0.3608,0.86239999999999994,0.576,0.66,0.46,0.5,0.44000000000000006,0.56,0.45999999999999996,0.558,0.7896,0.7176,0.44000000000000006,0.684,0.6072000000000001,0.18,0.02,0.2,0.1,0.08,0.06,0.1,0.14,0.1,0.1,0.06,0.08,0.1,0.1,0.08,0.8112676056338026,0.5188,0.6583321690140844,0.612208,1.5440620565994365,1.0252620565994364,flood_risk_reduction_and_protection
drought_demand_management,WSR003,Groundwater depletion corridor,North America,groundwater_depletion,0.6232000000000001,0.3724,0.6880000000000001,0.42000000000000004,0.6599999999999999,0.6000000000000001,0.52,0.66,0.56,0.666,0.6392,0.5336,0.58,0.5760000000000001,0.4232,0.18,0.02,0.2,0.1,0.08,0.06,0.1,0.14,0.1,0.1,0.06,0.08,0.1,0.1,0.08,1.4638297872340427,0.5652,0.58728,0.528928,1.2948905766399998,0.7296905766399998,close_water_resilience_gap
drought_demand_management,WSR008,Climate-resilient water corridor,South America,integrated_resilience,0.37720000000000004,0.4704,0.41600000000000004,0.7999999999999999,0.7999999999999999,0.8,0.88,0.88,0.82,0.378,0.4888,0.36800000000000005,0.7999999999999999,0.324,0.3128,0.18,0.02,0.2,0.1,0.08,0.06,0.1,0.14,0.1,0.1,0.06,0.08,0.1,0.1,0.08,0.48941176470588243,0.8296000000000001,0.39966211764705883,0.31632000000000005,0.7950265434352942,0,monitor_and_preserve_water_security
drought_demand_management,WSR005,Restored watershed and floodplain city,Europe,watershed_restoration,0.34440000000000004,0.45080000000000003,0.384,0.84,0.82,0.8200000000000001,0.9199999999999999,0.9,0.7999999999999999,0.342,0.45119999999999993,0.3128,0.82,0.30600000000000005,0.276,0.18,0.02,0.2,0.1,0.08,0.06,0.1,0.14,0.1,0.1,0.06,0.08,0.1,0.1,0.08,0.4314606741573034,0.8523999999999999,0.3671509213483146,0.282624,0.7107497999676404,0,monitor_and_preserve_water_security
flood_and_ecosystem_buffers,WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,0.8271999999999999,0.3276,0.7896,0.42000000000000004,0.56,0.6,0.6599999999999999,0.54,0.44000000000000006,0.8083999999999999,0.6624,0.7544,0.48,0.602,0.5104,0.06,0.22,0.06,0.08,0.14,0.12,0.3,0.14,0.1,0.06,0.08,0.08,0.12,0.14,0.12,1.68,0.5388,0.6453439999999999,0.649088,1.5873878502399998,1.04858785024,drought_resilience_and_demand_management
flood_and_ecosystem_buffers,WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,0.5828,0.6708000000000001,0.6956,0.52,0.6000000000000001,0.48,0.7,0.56,0.45999999999999996,0.6392,0.7544,0.7360000000000001,0.48,0.6192,0.616,0.06,0.22,0.06,0.08,0.14,0.12,0.3,0.14,0.1,0.06,0.08,0.08,0.12,0.14,0.12,1.2203508771929823,0.5596,0.6908160000000001,0.619968,1.6002051072,1.0406051072000002,close_water_resilience_gap
flood_and_ecosystem_buffers,WSR006,Water-service fragility settlement,Latin America,service_fragility,0.6392,0.5459999999999999,0.7332,0.54,0.5,0.52,0.6799999999999999,0.52,0.44000000000000006,0.7143999999999999,0.7360000000000001,0.6808000000000001,0.48,0.6708000000000001,0.5632,0.06,0.22,0.06,0.08,0.14,0.12,0.3,0.14,0.1,0.06,0.08,0.08,0.12,0.14,0.12,1.2427118644067794,0.5396,0.673152,0.6316,1.57123454848,1.03163454848,close_water_resilience_gap
flood_and_ecosystem_buffers,WSR007,Food-water-energy stress region,South Asia,food_water_energy,0.7707999999999999,0.45239999999999997,0.8271999999999999,0.46,0.5800000000000001,0.6,0.6599999999999999,0.5800000000000001,0.48,0.7896,0.7912,0.6992,0.5,0.6192,0.49280000000000007,0.06,0.22,0.06,0.08,0.14,0.12,0.3,0.14,0.1,0.06,0.08,0.08,0.12,0.14,0.12,1.6219607843137254,0.5616,0.6613439999999999,0.6492,1.5854437094399998,1.02384370944,drought_resilience_and_demand_management
flood_and_ecosystem_buffers,WSR002,Urban flood and drainage district,South Asia,flood_urban,0.41359999999999997,0.6864,0.6768,0.64,0.52,0.56,0.64,0.56,0.45999999999999996,0.5828,0.7728,0.7176,0.46,0.6536,0.5808,0.06,0.22,0.06,0.08,0.14,0.12,0.3,0.14,0.1,0.06,0.08,0.08,0.12,0.14,0.12,0.9808695652173912,0.5712,0.6496765217391304,0.6108,1.5318319073391302,0.9606319073391302,close_water_resilience_gap
flood_and_ecosystem_buffers,WSR003,Groundwater depletion corridor,North America,groundwater_depletion,0.7143999999999999,0.2964,0.8083999999999999,0.4,0.72,0.66,0.72,0.66,0.56,0.6956,0.6256,0.5336,0.6,0.5504,0.4048,0.06,0.22,0.06,0.08,0.14,0.12,0.3,0.14,0.1,0.06,0.08,0.08,0.12,0.14,0.12,1.796444444444444,0.6176,0.5835199999999999,0.529312,1.29097414656,0.6733741465599999,close_water_resilience_gap
flood_and_ecosystem_buffers,WSR008,Climate-resilient water corridor,South America,integrated_resilience,0.4324,0.3744,0.4888,0.7799999999999999,0.86,0.86,1,0.88,0.82,0.3948,0.47840000000000005,0.36800000000000005,0.82,0.3096,0.2992,0.06,0.22,0.06,0.08,0.14,0.12,0.3,0.14,0.1,0.06,0.08,0.08,0.12,0.14,0.12,0.5889156626506025,0.8675999999999999,0.40302881927710843,0.31427200000000005,0.7964908297253013,0,monitor_and_preserve_water_security
flood_and_ecosystem_buffers,WSR005,Restored watershed and floodplain city,Europe,watershed_restoration,0.3948,0.3588,0.45119999999999993,0.82,0.88,0.88,1,0.9,0.7999999999999999,0.35719999999999996,0.4416,0.3128,0.84,0.2924,0.264,0.06,0.22,0.06,0.08,0.14,0.12,0.3,0.14,0.1,0.06,0.08,0.08,0.12,0.14,0.12,0.5186206896551724,0.8832,0.368519724137931,0.280352,0.7097618467310343,0,monitor_and_preserve_water_security
integrated_water_resilience,WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,0.6688000000000001,0.3192,0.6215999999999999,0.5800000000000001,0.72,0.78,0.6599999999999999,0.7,0.64,0.6364,0.5327999999999999,0.5903999999999999,0.6599999999999999,0.48999999999999994,0.40599999999999997,0.24,0.24,0.26,0.24,0.3,0.3,0.3,0.3,0.3,0.26,0.26,0.28,0.3,0.3,0.3,0.9866666666666664,0.6779999999999999,0.5661999999999999,0.48756799999999995,1.2404113881599996,0.5624113881599997,close_water_resilience_gap
integrated_water_resilience,WSR007,Food-water-energy stress region,South Asia,food_water_energy,0.6232,0.44079999999999997,0.6512,0.62,0.74,0.78,0.6599999999999999,0.74,0.6799999999999999,0.6215999999999999,0.6364,0.5472,0.6799999999999999,0.504,0.392,0.24,0.24,0.26,0.24,0.3,0.3,0.3,0.3,0.3,0.26,0.26,0.28,0.3,0.3,0.3,0.9719402985074627,0.7008,0.5815092537313432,0.48575999999999997,1.2424721744238805,0.5416721744238805,monitor_and_preserve_water_security
integrated_water_resilience,WSR006,Water-service fragility settlement,Latin America,service_fragility,0.5168,0.5319999999999999,0.5772,0.7,0.6599999999999999,0.7,0.6799999999999999,0.6799999999999999,0.64,0.5624,0.592,0.5327999999999999,0.6599999999999999,0.5459999999999999,0.44799999999999995,0.24,0.24,0.26,0.24,0.3,0.3,0.3,0.3,0.3,0.26,0.26,0.28,0.3,0.3,0.3,0.7696000000000001,0.6788,0.5582400000000001,0.47487999999999997,1.1982539008,0.5194539008,monitor_and_preserve_water_security
integrated_water_resilience,WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,0.4712,0.6536,0.5476,0.6799999999999999,0.76,0.6599999999999999,0.7,0.72,0.6599999999999999,0.5032,0.6068,0.576,0.6599999999999999,0.504,0.48999999999999994,0.24,0.24,0.26,0.24,0.3,0.3,0.3,0.3,0.3,0.26,0.26,0.28,0.3,0.3,0.3,0.7501369863013698,0.6987999999999999,0.5738166575342465,0.464208,1.2173953183561643,0.5185953183561645,monitor_and_preserve_water_security
integrated_water_resilience,WSR002,Urban flood and drainage district,South Asia,flood_urban,0.33440000000000003,0.6688000000000001,0.5327999999999999,0.8,0.6799999999999999,0.74,0.64,0.72,0.6599999999999999,0.4588,0.6215999999999999,0.5616,0.64,0.5319999999999999,0.46199999999999997,0.24,0.24,0.26,0.24,0.3,0.3,0.3,0.3,0.3,0.26,0.26,0.28,0.3,0.3,0.3,0.6268235294117646,0.7103999999999999,0.5218762352941176,0.45792,1.1448723050164706,0.4344723050164707,monitor_and_preserve_water_security
integrated_water_resilience,WSR003,Groundwater depletion corridor,North America,groundwater_depletion,0.5776,0.2888,0.6364,0.56,0.8799999999999999,0.8400000000000001,0.72,0.8200000000000001,0.76,0.5476,0.5032,0.41759999999999997,0.78,0.44799999999999995,0.322,0.24,0.24,0.26,0.24,0.3,0.3,0.3,0.3,0.3,0.26,0.26,0.28,0.3,0.3,0.3,1.04327868852459,0.7567999999999999,0.517576,0.383632,1.01411133824,0.2573113382400001,monitor_and_preserve_water_security
integrated_water_resilience,WSR008,Climate-resilient water corridor,South America,integrated_resilience,0.3496,0.3648,0.38480000000000003,0.94,1,1,1,1,1,0.31079999999999997,0.38480000000000003,0.288,1,0.252,0.238,0.24,0.24,0.26,0.24,0.3,0.3,0.3,0.3,0.3,0.26,0.26,0.28,0.3,0.3,0.3,0.38868686868686875,0.988,0.3245796363636364,0.20339200000000002,0.5735883857454547,0,monitor_and_preserve_water_security
integrated_water_resilience,WSR005,Restored watershed and floodplain city,Europe,watershed_restoration,0.3192,0.3496,0.35519999999999996,0.98,1,1,1,1,1,0.2812,0.35519999999999996,0.24480000000000002,1,0.238,0.21,0.24,0.24,0.26,0.24,0.3,0.3,0.3,0.3,0.3,0.26,0.26,0.28,0.3,0.3,0.3,0.3448543689320388,0.996,0.298465786407767,0.18259199999999998,0.5163866702415534,0,monitor_and_preserve_water_security
justice_centered_water_security,WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,0.7392,0.35279999999999995,0.6888000000000001,0.52,0.64,0.7,0.56,0.66,0.64,0.6708000000000001,0.576,0.574,0.64,0.5319999999999999,0.45239999999999997,0.16,0.16,0.18,0.18,0.22,0.22,0.2,0.26,0.3,0.22,0.2,0.3,0.28,0.24,0.22,1.208421052631579,0.6144,0.608632,0.512712,1.3144394367999999,0.7000394367999999,drought_resilience_and_demand_management
justice_centered_water_security,WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,0.5207999999999999,0.7223999999999999,0.6068,0.62,0.68,0.58,0.6000000000000001,0.6799999999999999,0.6599999999999999,0.5304000000000001,0.656,0.5599999999999999,0.64,0.5472,0.5459999999999999,0.16,0.16,0.18,0.18,0.22,0.22,0.2,0.26,0.3,0.22,0.2,0.3,0.28,0.24,0.22,0.9056716417910448,0.6352,0.647220895522388,0.488896,1.3269845339701494,0.6917845339701494,flood_risk_reduction_and_protection
justice_centered_water_security,WSR006,Water-service fragility settlement,Latin America,service_fragility,0.5712,0.588,0.6396000000000001,0.64,0.58,0.62,0.5800000000000001,0.64,0.64,0.5928,0.6400000000000001,0.518,0.64,0.5928,0.49920000000000003,0.16,0.16,0.18,0.18,0.22,0.22,0.2,0.26,0.3,0.22,0.2,0.3,0.28,0.24,0.22,0.9269565217391305,0.6152,0.6297641739130435,0.500312,1.3056900113391303,0.6904900113391303,close_water_resilience_gap
justice_centered_water_security,WSR007,Food-water-energy stress region,South Asia,food_water_energy,0.6888,0.48719999999999997,0.7216,0.56,0.66,0.7,0.56,0.7,0.6799999999999999,0.6552,0.6880000000000001,0.5319999999999999,0.66,0.5472,0.4368000000000001,0.16,0.16,0.18,0.18,0.22,0.22,0.2,0.26,0.3,0.22,0.2,0.3,0.28,0.24,0.22,1.182950819672131,0.6372,0.628416,0.5126080000000001,1.3231314304,0.6859314303999999,close_water_resilience_gap
justice_centered_water_security,WSR002,Urban flood and drainage district,South Asia,flood_urban,0.3696,0.7392,0.5904,0.74,0.6,0.66,0.54,0.6799999999999999,0.6599999999999999,0.48360000000000003,0.672,0.5459999999999999,0.6200000000000001,0.5776,0.5148,0.16,0.16,0.18,0.18,0.22,0.22,0.2,0.26,0.3,0.22,0.2,0.3,0.28,0.24,0.22,0.7473417721518988,0.6468,0.5857135189873417,0.48234399999999994,1.2430053405974681,0.5962053405974681,flood_risk_reduction_and_protection
justice_centered_water_security,WSR003,Groundwater depletion corridor,North America,groundwater_depletion,0.6384,0.3192,0.7052,0.5,0.7999999999999999,0.76,0.62,0.78,0.76,0.5772,0.544,0.40599999999999997,0.76,0.4864,0.3588,0.16,0.16,0.18,0.18,0.22,0.22,0.2,0.26,0.3,0.22,0.2,0.3,0.28,0.24,0.22,1.282181818181818,0.6932,0.552232,0.408008,1.0771972319999998,0.3839972319999998,monitor_and_preserve_water_security
justice_centered_water_security,WSR008,Climate-resilient water corridor,South America,integrated_resilience,0.3864,0.40319999999999995,0.42640000000000006,0.8799999999999999,0.94,0.96,0.98,1,1,0.3276,0.41600000000000004,0.27999999999999997,0.98,0.2736,0.26520000000000005,0.16,0.16,0.18,0.18,0.22,0.22,0.2,0.26,0.3,0.22,0.2,0.3,0.28,0.24,0.22,0.4584946236559141,0.9551999999999999,0.3635450322580645,0.21622400000000003,0.628469630967742,0,monitor_and_preserve_water_security
justice_centered_water_security,WSR005,Restored watershed and floodplain city,Europe,watershed_restoration,0.35279999999999995,0.3864,0.3936,0.9199999999999999,0.96,0.98,1,1,1,0.2964,0.384,0.238,1,0.2584,0.23399999999999999,0.16,0.16,0.18,0.18,0.22,0.22,0.2,0.26,0.3,0.22,0.2,0.3,0.28,0.24,0.22,0.4057731958762887,0.9736,0.33391117525773195,0.190776,0.5621498395711341,0,monitor_and_preserve_water_security
water_quality_and_public_health,WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,0.5952,0.7912,0.6808000000000001,0.52,0.62,0.6599999999999999,0.54,0.6,0.54,0.6256,0.738,0.6880000000000001,0.52,0.5904,0.504,0.04,0.08,0.08,0.08,0.16,0.3,0.14,0.18,0.18,0.08,0.1,0.14,0.16,0.18,0.28,1.1943859649122808,0.5791999999999999,0.69792,0.589584,1.5532448255999998,0.9740448255999998,flood_risk_reduction_and_protection
water_quality_and_public_health,WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,0.8448,0.3864,0.7728,0.42000000000000004,0.58,0.78,0.5,0.5800000000000001,0.52,0.7912,0.648,0.7051999999999999,0.52,0.574,0.41759999999999997,0.04,0.08,0.08,0.08,0.16,0.3,0.14,0.18,0.18,0.08,0.1,0.14,0.16,0.18,0.28,1.6442553191489362,0.5584,0.642496,0.6180240000000001,1.5271956112,0.9687956112,drought_resilience_and_demand_management
water_quality_and_public_health,WSR006,Water-service fragility settlement,Latin America,service_fragility,0.6528,0.644,0.7176,0.54,0.52,0.7,0.52,0.56,0.52,0.6992,0.7200000000000001,0.6364,0.52,0.6396000000000001,0.4608,0.04,0.08,0.08,0.08,0.16,0.3,0.14,0.18,0.18,0.08,0.1,0.14,0.16,0.18,0.28,1.2162711864406779,0.5592,0.676512,0.6015600000000001,1.5220815062400002,0.9628815062400001,close_water_resilience_gap
water_quality_and_public_health,WSR007,Food-water-energy stress region,South Asia,food_water_energy,0.7871999999999999,0.5336,0.8096,0.46,0.6,0.78,0.5,0.62,0.56,0.7728,0.774,0.6536,0.54,0.5904,0.4032,0.04,0.08,0.08,0.08,0.16,0.3,0.14,0.18,0.18,0.08,0.1,0.14,0.16,0.18,0.28,1.5874509803921568,0.5812,0.664032,0.61832,1.53379558016,0.95259558016,drought_resilience_and_demand_management
water_quality_and_public_health,WSR002,Urban flood and drainage district,South Asia,flood_urban,0.4224,0.8096,0.6624,0.64,0.54,0.74,0.48000000000000004,0.6,0.54,0.5704,0.756,0.6708000000000001,0.5,0.6232000000000001,0.4752,0.04,0.08,0.08,0.08,0.16,0.3,0.14,0.18,0.18,0.08,0.1,0.14,0.16,0.18,0.28,0.9599999999999999,0.5908,0.6537279999999999,0.58084,1.48301246432,0.89221246432,flood_risk_reduction_and_protection
water_quality_and_public_health,WSR003,Groundwater depletion corridor,North America,groundwater_depletion,0.7296,0.3496,0.7912,0.4,0.74,0.8400000000000001,0.56,0.7,0.64,0.6808000000000001,0.6120000000000001,0.49879999999999997,0.64,0.5248,0.3312,0.04,0.08,0.08,0.08,0.16,0.3,0.14,0.18,0.18,0.08,0.1,0.14,0.16,0.18,0.28,1.7582222222222221,0.6372,0.582592,0.501576,1.24640289952,0.6092028995200001,drought_resilience_and_demand_management
water_quality_and_public_health,WSR008,Climate-resilient water corridor,South America,integrated_resilience,0.4416,0.4416,0.47840000000000005,0.7799999999999999,0.88,1,0.92,0.9199999999999999,0.8999999999999999,0.3864,0.468,0.34400000000000003,0.86,0.2952,0.24480000000000002,0.04,0.08,0.08,0.08,0.16,0.3,0.14,0.18,0.18,0.08,0.1,0.14,0.16,0.18,0.28,0.5763855421686748,0.8952,0.4070133975903614,0.290656,0.7696688794216867,0,monitor_and_preserve_water_security
