system_id,system_name,region,water_stress_type,metric,value
WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,water_stress_ratio,1.510204081632653
WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,water_security_capacity,0.4108
WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,hydrological_risk_pressure,0.7763999999999999
WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,systemic_water_vulnerability,0.7036000000000001
WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,justice_weighted_water_risk,1.8352
WSR004,Coastal flood and salinity region,Small Islands,coastal_flood_salinity,water_resilience_gap,1.4243999999999999
WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,water_stress_ratio,2
WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,water_security_capacity,0.39
WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,hydrological_risk_pressure,0.7084
WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,systemic_water_vulnerability,0.734
WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,justice_weighted_water_risk,1.7972304000000001
WSR001,Drought-stressed agricultural basin,Sub-Saharan Africa,drought_scarcity,water_resilience_gap,1.4072304
WSR006,Water-service fragility settlement,Latin America,service_fragility,water_stress_ratio,1.5294117647058825
WSR006,Water-service fragility settlement,Latin America,service_fragility,water_security_capacity,0.39080000000000004
WSR006,Water-service fragility settlement,Latin America,service_fragility,hydrological_risk_pressure,0.7512
WSR006,Water-service fragility settlement,Latin America,service_fragility,systemic_water_vulnerability,0.7152000000000001
WSR006,Water-service fragility settlement,Latin America,service_fragility,justice_weighted_water_risk,1.7919408000000001
WSR006,Water-service fragility settlement,Latin America,service_fragility,water_resilience_gap,1.4011408
WSR007,Food-water-energy stress region,South Asia,food_water_energy,water_stress_ratio,2
WSR007,Food-water-energy stress region,South Asia,food_water_energy,water_security_capacity,0.41279999999999994
WSR007,Food-water-energy stress region,South Asia,food_water_energy,hydrological_risk_pressure,0.732
WSR007,Food-water-energy stress region,South Asia,food_water_energy,systemic_water_vulnerability,0.7352000000000001
WSR007,Food-water-energy stress region,South Asia,food_water_energy,justice_weighted_water_risk,1.8017216
WSR007,Food-water-energy stress region,South Asia,food_water_energy,water_resilience_gap,1.3889216000000002
WSR002,Urban flood and drainage district,South Asia,flood_urban,water_stress_ratio,1.1803278688524588
WSR002,Urban flood and drainage district,South Asia,flood_urban,water_security_capacity,0.42240000000000005
WSR002,Urban flood and drainage district,South Asia,flood_urban,hydrological_risk_pressure,0.7372
WSR002,Urban flood and drainage district,South Asia,flood_urban,systemic_water_vulnerability,0.6936
WSR002,Urban flood and drainage district,South Asia,flood_urban,justice_weighted_water_risk,1.7656072
WSR002,Urban flood and drainage district,South Asia,flood_urban,water_resilience_gap,1.3432072
WSR003,Groundwater depletion corridor,North America,groundwater_depletion,water_stress_ratio,2
WSR003,Groundwater depletion corridor,North America,groundwater_depletion,water_security_capacity,0.4688
WSR003,Groundwater depletion corridor,North America,groundwater_depletion,hydrological_risk_pressure,0.6388
WSR003,Groundwater depletion corridor,North America,groundwater_depletion,systemic_water_vulnerability,0.6084
WSR003,Groundwater depletion corridor,North America,groundwater_depletion,justice_weighted_water_risk,1.4642128
WSR003,Groundwater depletion corridor,North America,groundwater_depletion,water_resilience_gap,0.9954128000000001
WSR008,Climate-resilient water corridor,South America,integrated_resilience,water_stress_ratio,0.6933333333333334
WSR008,Climate-resilient water corridor,South America,integrated_resilience,water_security_capacity,0.7332000000000001
WSR008,Climate-resilient water corridor,South America,integrated_resilience,hydrological_risk_pressure,0.46919999999999995
WSR008,Climate-resilient water corridor,South America,integrated_resilience,systemic_water_vulnerability,0.38360000000000005
WSR008,Climate-resilient water corridor,South America,integrated_resilience,justice_weighted_water_risk,0.9551360000000001
WSR008,Climate-resilient water corridor,South America,integrated_resilience,water_resilience_gap,0.22193600000000002
WSR005,Restored watershed and floodplain city,Europe,watershed_restoration,water_stress_ratio,0.6075949367088607
WSR005,Restored watershed and floodplain city,Europe,watershed_restoration,water_security_capacity,0.756
WSR005,Restored watershed and floodplain city,Europe,watershed_restoration,hydrological_risk_pressure,0.4289670886075949
WSR005,Restored watershed and floodplain city,Europe,watershed_restoration,systemic_water_vulnerability,0.3476
WSR005,Restored watershed and floodplain city,Europe,watershed_restoration,justice_weighted_water_risk,0.8557769316455697
WSR005,Restored watershed and floodplain city,Europe,watershed_restoration,water_resilience_gap,0.09977693164556967
