scenario,community_id,community_name,region,risk_context,hazard_pressure,exposure,social_vulnerability,trust_level,local_organizational_capacity,mutual_aid_strength,communication_access,local_knowledge_integration,institutional_support,participation_quality,recovery_capacity,exclusion_pressure,institutional_follow_through,broken_promise_pressure,hazard_reduction,exposure_reduction,vulnerability_reduction,trust_gain,organizational_gain,mutual_aid_gain,communication_gain,knowledge_integration_gain,institutional_support_gain,participation_gain,recovery_gain,exclusion_reduction,follow_through_gain,broken_promise_reduction,community_hazard_pressure,local_resilience_capacity,trust_adjusted_response_capacity,participation_legitimacy,community_resilience_gap,updated_trust_projection,diagnostic_priority
baseline,CRT004,Urban distrust and infrastructure neglect zone,North America,infrastructure_failure,0.78,0.74,0.8,0.3,0.44,0.54,0.42,0.38,0.28,0.24,0.3,0.82,0.22,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7619040000000001,0.3742000000000001,0.493272,0.18309840000000005,0.0855336000000001,0,repair_trust_and_public_accountability
baseline,CRT002,Floodplain community-based warning district,South Asia,flooding_early_warning,0.86,0.82,0.76,0.52,0.62,0.68,0.56,0.74,0.46,0.44,0.42,0.58,0.42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9195808,0.5718000000000001,0.7661724000000001,0.39100820000000003,0,0.35500000000000004,monitor_and_strengthen_local_capacity
baseline,CRT003,Coastal Indigenous knowledge and adaptation region,Small Islands,coastal_climate_risk,0.84,0.8,0.68,0.64,0.7,0.72,0.58,0.86,0.48,0.5,0.46,0.46,0.48,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8547840000000001,0.6384000000000001,0.8727119999999999,0.46984000000000004,0,0.552,monitor_and_strengthen_local_capacity
baseline,CRT001,Heat-exposed neighborhood resilience network,North America,heat_power_outage,0.82,0.78,0.7,0.46,0.58,0.66,0.54,0.5,0.42,0.38,0.44,0.64,0.36,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818688,0.5092,0.6640920000000001,0.32584240000000003,0,0.2370000000000001,improve_participation_and_shared_authority
baseline,CRT008,Displacement-affected community support corridor,Middle East and North Africa,displacement_service_access,0.76,0.74,0.84,0.42,0.52,0.6,0.46,0.44,0.36,0.34,0.38,0.76,0.3,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7513664000000001,0.4514,0.5817584,0.27202040000000005,0,0.12,improve_participation_and_shared_authority
baseline,CRT006,Rural drought mutual aid and food-sharing system,Latin America,drought_food_security,0.8,0.72,0.74,0.58,0.64,0.78,0.5,0.7,0.44,0.46,0.4,0.52,0.46,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7464959999999999,0.5826,0.7882056000000001,0.41767080000000006,0,0.44600000000000006,monitor_and_strengthen_local_capacity
baseline,CRT005,Community health worker preparedness network,Sub-Saharan Africa,health_emergency,0.74,0.7,0.78,0.62,0.68,0.72,0.64,0.66,0.52,0.56,0.5,0.54,0.56,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679616,0.6248,0.8224486000000001,0.5132008,0,0.533,monitor_and_strengthen_local_capacity
baseline,CRT007,High-trust municipal resilience partnership,Europe,multi_hazard_local_resilience,0.62,0.58,0.42,0.78,0.76,0.74,0.72,0.68,0.76,0.74,0.72,0.28,0.74,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42001279999999996,0.7392000000000001,0.9254709999999999,0.7943011999999999,0,0.862,monitor_and_strengthen_local_capacity
communication_and_local_knowledge,CRT002,Floodplain community-based warning district,South Asia,flooding_early_warning,0.8083999999999999,0.738,0.6688000000000001,0.7,0.8,0.8400000000000001,0.9000000000000001,1,0.64,0.64,0.58,0.4756,0.6,0.41000000000000003,0.06,0.1,0.12,0.18,0.18,0.16,0.34,0.34,0.18,0.2,0.16,0.18,0.18,0.18,0.7562014179839999,0.781,1.0956000000000001,0.6188200959999999,0,0.64138,monitor_and_strengthen_local_capacity
communication_and_local_knowledge,CRT003,Coastal Indigenous knowledge and adaptation region,Small Islands,coastal_climate_risk,0.7896,0.7200000000000001,0.5984,0.8200000000000001,0.8799999999999999,0.88,0.9199999999999999,1,0.6599999999999999,0.7,0.62,0.37720000000000004,0.6599999999999999,0.32800000000000007,0.06,0.1,0.12,0.18,0.18,0.16,0.34,0.34,0.18,0.2,0.16,0.18,0.18,0.18,0.70459103232,0.8308000000000001,1.1804363999999998,0.70783769,0,0.82776,monitor_and_strengthen_local_capacity
