scenario,system_id,system_name,region,fiscal_context,debt_service_burden,revenue_capacity,essential_service_spending,public_investment,maintenance_capacity,adaptation_drr_spending,social_protection_capacity,governance_capacity,local_government_capacity,essential_service_cuts,public_investment_cuts,maintenance_deferral,adaptation_deferral,social_protection_cuts,public_workforce_stress,social_vulnerability,hazard_exposure,inequality_pressure,prior_deferred_risk,debt_service_reduction,revenue_capacity_gain,essential_spending_gain,public_investment_gain,maintenance_gain,adaptation_gain,social_protection_gain,governance_gain,local_government_gain,essential_cuts_reduction,investment_cuts_reduction,maintenance_deferral_reduction,adaptation_deferral_reduction,social_protection_cuts_reduction,workforce_stress_reduction,vulnerability_reduction,hazard_exposure_reduction,inequality_reduction,deferred_risk_reduction,debt_service_pressure,public_resilience_capacity,austerity_intensity,fiscal_resilience_risk,deferred_risk_burden,public_resilience_gap,diagnostic_priority
baseline,DAR001,High debt service climate-vulnerable public system,Sub-Saharan Africa,climate_debt_trap,0.82,0.38,0.42,0.34,0.3,0.28,0.36,0.4,0.34,0.62,0.68,0.72,0.76,0.58,0.64,0.78,0.84,0.76,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4137931034482756,0.349,0.6704,3.332111023936739,0.7841599999999997,3.767271023936739,debt_restructuring_or_debt_service_relief
baseline,DAR004,Small island debt and adaptation constraint,Small Islands,adaptation_finance_constraint,0.78,0.42,0.46,0.38,0.36,0.26,0.42,0.46,0.38,0.52,0.6,0.58,0.82,0.48,0.54,0.64,0.88,0.62,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2580645161290323,0.38780000000000003,0.596,2.7349357917897144,0.7583999999999999,3.1055357917897144,debt_restructuring_or_debt_service_relief
baseline,DAR002,Austerity-stressed public health and care system,Latin America,service_cut_austerity,0.68,0.46,0.38,0.36,0.34,0.32,0.3,0.44,0.4,0.76,0.62,0.66,0.58,0.74,0.7,0.72,0.64,0.78,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0303030303030303,0.358,0.6736,2.549197942300207,0.7454400000000001,2.9366379423002074,debt_restructuring_or_debt_service_relief
baseline,DAR005,Social protection contraction under fiscal stress,South Asia,social_protection_cuts,0.66,0.48,0.44,0.4,0.38,0.36,0.28,0.5,0.44,0.64,0.56,0.52,0.5,0.82,0.58,0.82,0.72,0.8,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9705882352941178,0.39499999999999996,0.6012,2.4271201949441505,0.6724800000000001,2.7046001949441507,debt_restructuring_or_debt_service_relief
baseline,DAR007,Local government transfer squeeze and service fragility,Middle East and North Africa,local_government_fiscal_squeeze,0.62,0.44,0.48,0.36,0.32,0.34,0.38,0.42,0.26,0.6,0.64,0.7,0.62,0.56,0.68,0.68,0.66,0.7,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,0.3746,0.6295999999999999,2.315863220806433,0.68784,2.629103220806433,debt_restructuring_or_debt_service_relief
baseline,DAR008,Commodity shock and debt rollover pressure,Latin America,commodity_debt_rollover,0.72,0.5,0.52,0.44,0.42,0.4,0.46,0.48,0.42,0.5,0.58,0.56,0.54,0.48,0.56,0.6,0.58,0.66,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0285714285714287,0.45120000000000005,0.5356,2.063004929468967,0.5622400000000001,2.174044929468967,debt_restructuring_or_debt_service_relief
baseline,DAR003,Deferred infrastructure maintenance region,North America,maintenance_backlog,0.54,0.62,0.58,0.42,0.28,0.4,0.52,0.6,0.5,0.44,0.56,0.82,0.54,0.38,0.46,0.5,0.7,0.58,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6585365853658537,0.46759999999999996,0.5424,1.5436361411033737,0.7369600000000001,1.8129961411033735,restore_maintenance_and_infrastructure_capacity
baseline,DAR006,Resilience-investment oriented fiscal system,Europe,resilience_investment,0.34,0.78,0.76,0.74,0.72,0.7,0.74,0.76,0.72,0.18,0.2,0.22,0.2,0.18,0.24,0.34,0.46,0.32,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34693877551020413,0.735,0.1996,0.5030434092798235,0,0,monitor_and_strengthen_fiscal_resilience
debt_relief_and_revenue_reform,DAR001,High debt service climate-vulnerable public system,Sub-Saharan Africa,climate_debt_trap,0.5411999999999999,0.6799999999999999,0.54,0.48000000000000004,0.42,0.42000000000000004,0.52,0.56,0.48000000000000004,0.5207999999999999,0.5576000000000001,0.5904,0.6232000000000001,0.4756,0.5376,0.7020000000000001,0.7728,0.6232000000000001,0.616,0.34,0.3,0.12,0.14,0.12,0.14,0.16,0.16,0.14,0.16,0.18,0.18,0.18,0.18,0.16,0.1,0.08,0.18,0.12,0.615,0.4878,0.5532320000000001,1.6171373136666298,0.5732928000000002,1.70263011366663,close_public_resilience_gap
debt_relief_and_revenue_reform,DAR004,Small island debt and adaptation constraint,Small Islands,adaptation_finance_constraint,0.5147999999999999,0.72,0.5800000000000001,0.52,0.48,0.4,0.58,0.62,0.52,0.4368,0.492,0.4756,0.6724,0.3936,0.4536,0.5760000000000001,0.8096,0.5084000000000001,0.6335999999999999,0.34,0.3,0.12,0.14,0.12,0.14,0.16,0.16,0.14,0.16,0.18,0.18,0.18,0.18,0.16,0.1,0.08,0.18,0.12,0.5595652173913043,0.5266,0.491664,1.3501766884605044,0.5502655999999999,1.3738422884605044,protect_climate_adaptation_and_drr
