scenario,system_id,system_name,domain,region,stress_type,initiating_shock_severity,dependency_density,hidden_coupling,critical_node_exposure,backup_capacity,modularity_capacity,cross_sector_coordination,restoration_speed,redundancy_capacity,social_vulnerability,governance_readiness,system_criticality,cascade_exposure,monitoring_capacity,public_trust,shock_reduction,dependency_reduction,coupling_reduction,critical_node_reduction,backup_gain,modularity_gain,coordination_gain,restoration_gain,redundancy_gain,vulnerability_reduction,governance_gain,cascade_exposure_reduction,monitoring_gain,trust_gain,dependency_pressure,containment_capacity,governance_response_capacity,propagation_likelihood,cascade_amplification,essential_function_continuity,continuity_gap,justice_weighted_cascade_risk,diagnostic_priority
baseline,CFI005,Regional food-water-energy nexus,food_water_energy,Sub-Saharan Africa,drought_energy_supply,0.86,0.74,0.66,0.7,0.28,0.34,0.4,0.34,0.32,0.82,0.4,0.78,0.76,0.42,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7128000000000001,0.34680000000000005,0.39080000000000004,1.5738030503443199,4.401120576635398,0.342,4.059120576635398,3.48687284349172,modularity_and_redundancy_rebuild
baseline,CFI002,Urban flood logistics network,urban_watershed,South Asia,flood_transport_supply,0.84,0.78,0.7,0.76,0.32,0.36,0.42,0.38,0.34,0.74,0.44,0.86,0.8,0.46,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7628000000000001,0.37479999999999997,0.42240000000000005,1.5756907106304001,4.345645664799902,0.37120000000000003,3.9744456647999025,3.3638209976454587,modularity_and_redundancy_rebuild
baseline,CFI003,Hospital supply-chain dependency,public_health,Latin America,medical_supply_disruption,0.72,0.82,0.76,0.78,0.3,0.32,0.48,0.36,0.28,0.76,0.46,0.9,0.74,0.5,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8043999999999999,0.3655999999999999,0.45,1.3665549607257597,3.850022621951897,0.36519999999999997,3.4848226219518974,2.9941095970806844,dependency_mapping_priority
baseline,CFI001,Power-water-health corridor,critical_infrastructure,North America,heat_outage_water_health,0.78,0.86,0.74,0.82,0.38,0.34,0.46,0.42,0.4,0.58,0.5,0.92,0.84,0.54,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8236,0.41600000000000004,0.4768,1.4960363897856,3.781011806499692,0.4264,3.3546118064996917,2.825440295762139,dependency_mapping_priority
baseline,CFI006,Port logistics and fuel network,supply_chain,Global,trade_fuel_disruption,0.76,0.88,0.82,0.84,0.36,0.3,0.52,0.4,0.34,0.54,0.5,0.88,0.86,0.58,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8532,0.4068,0.49319999999999997,1.4969363739420798,3.5858071604674273,0.41200000000000003,3.1738071604674274,2.679411582848612,dependency_mapping_priority
baseline,CFI004,Centralized civic cloud platform,digital_infrastructure,Asia,cyber_administration_outage,0.7,0.84,0.8,0.8,0.34,0.28,0.5,0.44,0.3,0.46,0.54,0.84,0.82,0.66,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8192000000000002,0.40080000000000005,0.5232000000000001,1.3433221593792,2.947875386119408,0.41080000000000005,2.5370753861194077,2.187358024608943,dependency_mapping_priority
baseline,CFI008,Regenerative watershed-city resilience region,regional_transition,South America,compound_climate_stress,0.58,0.48,0.4,0.46,0.7,0.78,0.76,0.7,0.74,0.36,0.78,0.7,0.46,0.78,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48240000000000005,0.7512,0.7524,0.66078072620352,1.1254139272168766,0.7280000000000001,0.3974139272168765,0.7749046308535397,monitor_and_strengthen_containment
baseline,CFI007,Distributed microgrid community network,energy_system,Europe,storm_grid_stress,0.52,0.42,0.36,0.44,0.74,0.76,0.7,0.68,0.72,0.32,0.72,0.66,0.42,0.76,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44000000000000006,0.738,0.7124,0.5736416774399999,0.9435523287096764,0.7164,0.2271523287096764,0.6299088308141444,monitor_and_strengthen_containment
critical_node_hardening,CFI005,Regional food-water-energy nexus,food_water_energy,Sub-Saharan Africa,drought_energy_supply,0.774,0.666,0.5808,0.518,0.48000000000000004,0.52,0.54,0.52,0.5,0.738,0.56,0.78,0.6384,0.56,0.54,0.1,0.1,0.12,0.26,0.2,0.18,0.14,0.18,0.18,0.1,0.16,0.16,0.14,0.12,0.62384,0.5176000000000001,0.542,1.1795260341420473,2.9568081340892736,0.5116,2.4452081340892735,2.314800844842692,essential_function_continuity_gap
critical_node_hardening,CFI002,Urban flood logistics network,urban_watershed,South Asia,flood_transport_supply,0.756,0.7020000000000001,0.616,0.5624,0.52,0.54,0.56,0.56,0.52,0.666,0.6,0.86,0.672,0.6000000000000001,0.56,0.1,0.1,0.12,0.26,0.2,0.18,0.14,0.18,0.18,0.1,0.16,0.16,0.14,0.12,0.667608,0.5456,0.5736,1.1748996657108912,2.9098187141076544,0.5408000000000001,2.3690187141076544,2.222959737025957,essential_function_continuity_gap
